[28561622.622,298.4;
28564663.163,321.8;
28564673.709,321.8;
28564682.112,321.8;
28564692.593,321.8;
28564703.098,321.9;
28564713.558,321.9;
28564721.982,321.9;
28564732.452,321.9;
28564742.865,321.9;
28564753.272,321.9;
28564763.733,321.9;
28564772.078,322.0;
28564782.539,322.0;
28564792.994,322.0;
28564803.449,322.0;
28564813.942,322.0;
28564822.303,322.0;
28564832.700,322.1;
28564843.169,322.1;
28564853.715,322.1;
28564862.094,322.1;
28564872.519,322.1;
28564882.941,322.1;
28564893.407,322.1;
28564903.832,322.2;
28564912.174,322.2;
28564922.613,322.2;
28564933.050,322.2;
28564943.463,322.2;
28564953.944,322.2;
28564962.353,322.2;
28564972.930,322.3;
28564983.555,322.3;
28564994.008,322.3;
28565002.338,322.3;
28565012.767,322.3;
28565023.204,322.3;
28565033.643,322.3;
28565042.021,322.3;
28565052.459,322.3;
28565062.940,322.3;
28565073.383,322.3;
28565083.805,322.3;
28565092.167,322.3;
28565102.607,322.3;
28565113.073,322.3;
28565123.527,322.3;
28565132.011,322.3;
28565142.467,322.3;
28565153.058,322.3;
28565163.495,322.3;
28565173.902,322.3;
28565182.231,322.3;
28565192.639,322.3;
28565203.119,322.3;
28565213.620,322.3;
28565224.093,322.3;
28565232.402,322.3;
28565242.890,322.3;
28565253.308,322.3;
28565263.666,322.3;
28565274.103,322.3;
28565282.486,322.3;
28565292.917,322.3;
28565303.448,322.3;
28565313.884,322.3;
28565322.263,322.3;
28565332.764,322.3;
28565343.312,322.3;
28565353.871,322.3;
28565362.247,322.3;
28565372.767,322.3;
28565383.206,322.3;
28565393.765,322.3;
28565402.155,322.3;
28565412.684,322.4;
28565423.138,322.4;
28565433.635,322.4;
28565444.105,322.4;
28565452.450,322.4;
28565462.889,322.4;
28565473.330,322.4;
28565483.781,322.4;
28565492.142,322.5;
28565502.606,322.4;
28565513.032,322.4;
28565523.469,322.4;
28565533.999,322.4;
28565542.313,322.4;
28565552.769,322.5;
28565563.188,322.4;
28565573.653,322.5;
28565584.090,322.5;
28565592.420,322.5;
28565602.891,322.4;
28565613.362,322.4;
28565623.858,322.4;
28565632.237,322.4;
28565642.642,322.4;
28565653.059,322.4;
28565663.611,322.4;
28565674.043,322.4;
28565682.469,322.4;
28565692.936,322.4;
28565703.488,322.4;
28565713.924,322.4;
28565722.318,322.4;
28565732.736,322.4;
28565743.187,322.4;
28565753.608,322.3;
28565764.077,322.3;
28565772.502,322.3;
28565782.985,322.3;
28565793.499,322.3;
28565803.894,322.3;
28565812.240,322.3;
28565822.770,322.3;
28565833.238,322.2;
28565843.676,322.2;
28565854.110,322.2;
28565862.507,322.2;
28565873.030,322.2;
28565883.421,322.2;
28565893.971,322.2;
28565902.376,322.2;
28565912.817,322.2;
28565923.345,322.2;
28565933.783,322.1;
28565944.140,322.1;
28565952.501,322.1;
28565962.923,322.1;
28565973.391,322.0;
28565983.863,322.0;
28565992.238,322.0;
28566002.663,322.0;
28566013.084,322.0;
28566023.489,322.0;
28566033.938,321.9;
28566042.300,321.9;
28566052.726,321.8;
28566063.175,321.8;
28566073.631,321.8;
28566084.100,321.8;
28566092.427,321.8;
28566102.928,321.8;
28566113.365,321.7;
28566123.829,321.7;
28566132.180,321.7;
28566142.629,321.6;
28566153.085,321.6;
28566163.519,321.6;
28566173.943,321.5;
28566182.290,321.5;
28566192.728,321.5;
28566203.165,321.5;
28566213.614,321.4;
28566224.051,321.4;
28566232.379,321.4;
28566242.883,321.3;
28566253.321,321.3;
28566263.704,321.3;
28566274.148,321.3;
28566282.541,321.2;
28566292.991,321.2;
28566303.444,321.2;
28566313.943,321.2;
28566322.288,321.2;
28566332.789,321.1;
28566343.181,321.1;
28566353.603,321.0;
28566364.068,321.0;
28566372.402,321.0;
28566382.839,320.9;
28566393.333,320.8;
28566403.759,320.1;
28566412.117,319.8;
28566422.589,319.4;
28566433.210,319.1;
28566443.728,318.7;
28566452.054,318.4;
28566462.633,318.1;
28566473.135,317.9;
28566483.600,317.6;
28566494.118,317.3;
28566502.668,317.1;
28566513.162,316.8;
28566523.602,316.6;
28566534.052,316.3;
28566542.444,316.1;
28566552.913,315.9;
28566563.416,315.7;
28566573.896,315.5;
28566582.321,315.3;
28566592.728,315.1;
28566603.121,314.9;
28566613.619,314.6;
28566624.105,314.4;
28566632.477,314.3]
