[			
0	,	0	;
7136983	,	1	;
7136993	,	1	;
7137003	,	1	;
7137013	,	1	;
7137023	,	181	;
7137033	,	202	;
7137043	,	660	;
7137053	,	663	;
7137063	,	663	;
7137073	,	664	;
7137083	,	665	;
7137093	,	664	;
7137103	,	664	;
7137113	,	665	;
7137123	,	666	;
7137133	,	666	;
7137143	,	666	;
7137153	,	666	;
7137163	,	666	;
7137173	,	666	;
7137183	,	666	;
7137193	,	666	;
7137203	,	666	;
7137213	,	667	;
7137223	,	666	;
7137233	,	667	;
7137243	,	666	;
7137253	,	666	;
7137263	,	666	;
7137273	,	666	;
7137283	,	666	;
7137293	,	666	;
7137303	,	666	;
7137313	,	665	;
7137323	,	664	;
7137333	,	665	;
7137343	,	664	;
7137353	,	663	;
7137363	,	662	;
7137373	,	663	;
7137383	,	663	;
7137393	,	662	;
7137403	,	664	;
7137413	,	664	;
7137423	,	664	;
7137433	,	665	;
7137443	,	663	;
7137453	,	664	;
7137463	,	666	;
7137473	,	669	;
7137483	,	669	;
7137493	,	669	;
7137503	,	668	;
7137513	,	668	;
7137523	,	668	;
7137533	,	669	;
7137543	,	668	;
7137553	,	669	;
7137563	,	669	;
7137573	,	668	;
7137583	,	668	;
7137593	,	668	;
7137603	,	669	;
7137613	,	670	;
7137623	,	669	;
7137633	,	669	;
7137643	,	669	;
7137653	,	669	;
7137663	,	668	;
7137673	,	668	;
7137683	,	667	;
7137693	,	667	;
7137703	,	666	;
7137713	,	666	;
7137723	,	665	;
7137733	,	667	;
7137743	,	666	;
7137753	,	667	;
7137763	,	667	;
7137773	,	668	;
7137783	,	668	;
7137793	,	668	;
7137803	,	668	;
7137813	,	667	;
7137823	,	667	;
7137833	,	665	;
7137843	,	666	;
7137853	,	667	;
7137863	,	667	;
7137873	,	666	;
7137883	,	667	;
7137893	,	669	;
7137903	,	669	;
7137913	,	669	;
7137923	,	668	;
7137933	,	667	;
7137943	,	668	;
7137953	,	670	;
7137963	,	673	;
7137973	,	674	;
7137983	,	674	;
7137993	,	674	;
7138003	,	673	;
7138013	,	673	;
7138023	,	673	;
7138033	,	672	;
7138043	,	672	;
7138053	,	673	;
7138063	,	674	;
7138073	,	674	;
7138083	,	674	;
7138093	,	674	;
7138103	,	675	;
7138113	,	675	;
7138123	,	674	;
7138133	,	674	;
7138143	,	674	;
7138153	,	674	;
7138163	,	673	;
7138173	,	672	;
7138183	,	672	;
7138193	,	671	;
7138203	,	671	;
7138213	,	671	;
7138223	,	672	;
7138233	,	671	;
7138243	,	671	;
7138253	,	671	;
7138263	,	670	;
7138273	,	672	;
7138283	,	670	;
7138293	,	670	;
7138303	,	670	;
7138313	,	669	;
7138323	,	670	;
7138333	,	669	;
7138343	,	670	;
7138353	,	670	;
7138363	,	670	;
7138373	,	670	;
7138383	,	669	;
7138393	,	669	;
7138403	,	670	;
7138413	,	669	;
7138423	,	669	;
7138433	,	669	;
7138443	,	670	;
7138453	,	670	;
7138463	,	670	;
7138473	,	670	;
7138483	,	670	;
7138493	,	669	;
7138503	,	669	;
7138513	,	668	;
7138523	,	667	;
7138533	,	667	;
7138543	,	666	;
7138553	,	666	;
7138563	,	665	;
7138573	,	664	;
7138583	,	664	;
7138593	,	664	;
