#1,
"float I_DN(488,2) #here it is! In 1/1000s resolution, and Temperature in C to the .001 degrees ",
28564623.252,48.6;
28564633.756,48.6;
28564642.170,48.6;
28564652.638,48.6;
28564663.163,48.7;
28564673.709,48.7;
28564682.112,48.7;
28564692.593,48.7;
28564703.098,48.7;
28564713.558,48.7;
28564721.982,48.8;
28564732.452,48.8;
28564742.865,48.8;
28564753.272,48.8;
28564763.733,48.8;
28564772.078,48.8;
28564782.539,48.8;
28564792.994,48.9;
28564803.449,48.9;
28564813.942,48.9;
28564822.303,48.9;
28564832.700,48.9;
28564843.169,48.9;
28564853.715,48.9;
28564862.094,48.9;
28564872.519,48.9;
28564882.941,48.9;
28564893.407,49.0;
28564903.832,49.0;
28564912.174,49.0;
28564922.613,49.0;
28564933.050,49.0;
28564943.463,49.1;
28564953.944,49.1;
28564962.353,49.1;
28564972.930,49.1;
28564983.555,49.1;
28564994.008,49.1;
28565002.338,49.1;
28565012.767,49.2;
28565023.204,49.1;
28565033.643,49.1;
28565042.021,49.1;
28565052.459,49.1;
28565062.940,49.1;
28565073.383,49.1;
28565083.805,49.1;
28565092.167,49.1;
28565102.607,49.1;
28565113.073,49.2;
28565123.527,49.1;
28565132.011,49.1;
28565142.467,49.2;
28565153.058,49.2;
28565163.495,49.2;
28565173.902,49.2;
28565182.231,49.1;
28565192.639,49.1;
28565203.119,49.2;
28565213.620,49.2;
28565224.093,49.1;
28565232.402,49.1;
28565242.890,49.1;
28565253.308,49.1;
28565263.666,49.1;
28565274.103,49.1;
28565282.486,49.1;
28565292.917,49.1;
28565303.448,49.1;
28565313.884,49.2;
28565322.263,49.1;
28565332.764,49.1;
28565343.312,49.1;
28565353.871,49.1;
28565362.247,49.1;
28565372.767,49.2;
28565383.206,49.2;
28565393.765,49.2;
28565402.155,49.2;
28565412.684,49.2;
28565423.138,49.2;
28565433.635,49.2;
28565444.105,49.2;
28565452.450,49.2;
28565462.889,49.2;
28565473.330,49.3;
28565483.781,49.3;
28565492.142,49.3;
28565502.606,49.3;
28565513.032,49.3;
28565523.469,49.3;
28565533.999,49.3;
28565542.313,49.3;
28565552.769,49.3;
28565563.188,49.3;
28565573.653,49.3;
28565584.090,49.3;
28565592.420,49.3;
28565602.891,49.3;
28565613.362,49.3;
28565623.858,49.3;
28565632.237,49.3;
28565642.642,49.3;
28565653.059,49.3;
28565663.611,49.2;
28565674.043,49.2;
28565682.469,49.2;
28565692.936,49.2;
28565703.488,49.3;
28565713.924,49.3;
28565722.318,49.3;
28565732.736,49.2;
28565743.187,49.2;
28565753.608,49.2;
28565764.077,49.2;
28565772.502,49.2;
28565782.985,49.2;
28565793.499,49.2;
28565803.894,49.1;
28565812.240,49.1;
28565822.770,49.1;
28565833.238,49.1;
28565843.676,49.1;
28565854.110,49.1;
28565862.507,49.0;
28565873.030,49.0;
28565883.421,49.0;
28565893.971,49.0;
28565902.376,49.0;
28565912.817,49.0;
28565923.345,49.0;
28565933.783,49.0;
28565944.140,49.0;
28565952.501,48.9;
28565962.923,48.9;
28565973.391,48.9;
28565983.863,48.9;
28565992.238,48.9;
28566002.663,48.8;
28566013.084,48.8;
28566023.489,48.8;
28566033.938,48.8;
28566042.300,48.7;
28566052.726,48.7;
28566063.175,48.7;
28566073.631,48.7;
28566084.100,48.6;
28566092.427,48.6;
28566102.928,48.6;
28566113.365,48.6;
28566123.829,48.5;
28566132.180,48.5;
28566142.629,48.5;
28566153.085,48.5;
28566163.519,48.4;
28566173.943,48.4;
28566182.290,48.4;
28566192.728,48.4;
28566203.165,48.3;
28566213.614,48.3;
28566224.051,48.2;
28566232.379,48.2;
28566242.883,48.2;
28566253.321,48.2;
28566263.704,48.1;
28566274.148,48.1;
28566282.541,48.1;
28566292.991,48.1;
28566303.444,48.0;
28566313.943,48.0;
28566322.288,48.0;
28566332.789,48.0;
28566343.181,47.9;
28566353.603,47.9;
28566364.068,47.8;
28566372.402,47.8;
28566382.839,47.8;
28566393.333,47.7;
28566403.759,47.0;
28566412.117,46.7;
28566422.589,46.3;
28566433.210,45.9;
28566443.728,45.6;
28566452.054,45.3;
28566462.633,45.0;
28566473.135,44.7;
28566483.600,44.4;
28566494.118,44.2;
28566502.668,44.0;
28566513.162,43.7;
28566523.602,43.4;
28566534.052,43.2;
28566542.444,43.0;
28566552.913,42.7;
28566563.416,42.5;
28566573.896,42.3;
28566582.321,42.1;
28566592.728,41.9;
28566603.121,41.7;
28566613.619,41.5;
28566624.105,41.3;
28566632.477,41.1
