28561622.622,   2.5;
28561633.075,   1.5;
28561643.572,   1.5;
28561654.096, 451.5;
28561662.587, 455.4;
28561673.035, 453.2;
28561683.502, 431.2;
28561694.002, 415.2;
28561702.412, 443.6;
28561712.860, 447.0;
28561723.285, 432.9;
28561733.811, 440.6;
28561737.976, 431.3;
28561783.794, 518.3;
28561792.155, 509.2;
28561802.608, 518.6;
28561813.105, 525.0;
28561823.635, 527.6;
28561834.054, 541.6;
28561842.426, 565.6;
28561852.850, 569.4;
28561863.288, 579.0;
28561873.733, 576.1;
28561882.099, 555.6;
28561892.454, 563.6;
28561902.920, 558.2;
28561913.333, 538.0;
28561921.998, 518.9;
28561932.579, 524.2;
28561943.041, 485.9;
28561953.463, 386.9;
28561963.962, 454.6;
28561972.308, 490.2;
28561982.794, 477.8;
28561993.402, 539.7;
28562003.928, 496.6;
28562012.445, 600.5;
28562022.883, 607.7;
28562033.444, 611.3;
28562043.927, 614.7;
28562052.284, 615.6;
28562062.735, 612.8;
28562073.187, 608.5;
28562083.685, 610.4;
28562092.066, 610.3;
28562102.501, 603.1;
28562112.984, 594.4;
28562123.493, 594.8;
28562133.961, 610.8;
28562142.322, 615.9;
28562152.822, 614.8;
28562163.292, 610.9;
28562173.724, 611.7;
28562182.086, 612.8;
28562192.571, 611.7;
28562203.082, 611.2;
28562213.503, 612.6;
28562223.999, 615.3;
28562232.377, 617.0;
28562242.847, 615.3;
28562253.325, 615.0;
28562263.829, 615.6;
28562272.299, 617.0;
28562282.749, 617.4;
28562293.202, 617.3;
28562303.696, 616.0;
28562312.089, 616.3;
28562322.604, 616.8;
28562333.041, 616.6;
28562343.478, 616.3;
28562353.946, 615.5;
28562362.337, 614.5;
28562366.594, 614.9;
28562492.064, 617.9;
28562502.449, 616.9;
28562512.917, 615.9;
28562523.385, 615.1;
28562533.960, 613.3;
28562542.353, 612.2;
28562552.819, 612.4;
28562563.392, 610.6;
28562573.845, 609.7;
28562582.206, 609.0;
28562592.624, 608.9;
28562603.060, 607.6;
28562613.495, 607.1;
28562623.874, 607.2;
28562632.283, 606.2;
28562642.778, 607.3;
28562653.165, 605.9;
28562663.577, 605.1;
28562671.978, 604.6;
28562682.433, 603.0;
28562692.928, 601.4;
28562703.414, 601.5;
28562711.914, 601.2;
28562722.443, 601.4;
28562732.970, 601.3;
28562743.452, 602.6;
28562753.876, 603.6;
28562762.255, 604.0;
28562772.690, 580.4;
28562783.169, 545.1;
28562793.625, 569.3;
28562801.981, 602.0;
28562812.463, 600.0;
28562822.904, 599.9;
28562833.386, 600.5;
28562843.989, 600.4;
28562852.351, 599.9;
28562862.806, 599.1;
28562873.306, 598.9;
28562883.815, 601.1;
28562892.213, 601.6;
28562902.736, 602.8;
28562913.267, 602.2;
28562923.879, 603.4;
28562932.219, 602.0;
28562942.691, 602.2;
28562953.189, 601.8;
28562963.656, 603.1;
28562972.156, 602.2;
