#1	
float	4DLUT(60025,2)
697	0.534483
698	0.577586
699	0.655172
700	0.698276
701	0.758621
702	0.818966
703	0.87069
704	0.939655
705	0.939655
706	0.939655
707	0.939655
708	0.939655
709	0.939655
710	0.939655
711	0.939655
712	0.939655
713	0.939655
714	0.939655
715	0.939655
716	0.939655
717	0.939655
718	0.939655
719	0.939655
720	0.939655
721	0.939655
722	0.939655
723	0.905172
724	0.862069
725	0.827586
726	0.784483
727	0.75
728	0.715517
729	0.672414
730	0.637931
731	0.568966
732	0.517241
733	0.474138
734	0.405172
735	0.362069
736	0
737	0
738	0.086207
739	0.12069
740	0.198276
741	0.241379
742	0.310345
743	0.362069
744	0.422414
745	0.482759
746	0.551724
747	0.594828
748	0.672414
749	0.715517
750	0.775862
751	0.836207
752	0.887931
753	0.956897
754	0.956897
755	0.956897
756	0.956897
757	0.956897
758	0.956897
759	0.956897
760	0.956897
761	0.956897
762	0.956897
763	0.956897
764	0.956897
765	0.956897
766	0.956897
767	0.956897
768	0.956897
769	0.956897
770	0.956897
771	0.956897
772	0.913793
773	0.87069
774	0.836207
775	0.793103
776	0.758621
777	0.715517
778	0.672414
779	0.637931
780	0.568966
781	0.517241
782	0.474138
783	0.405172
784	0.362069
785	0
786	0
787	0.086207
788	0.12931
789	0.206897
790	0.25
791	0.318966
792	0.37931
793	0.439655
794	0.5
795	0.577586
796	0.62069
797	0.698276
798	0.75
799	0.810345
800	0.87069
801	0.922414
802	1
803	1
804	1
805	1
806	1
807	1
808	1
809	1
810	1
811	1
812	1
813	1
814	1
815	1
816	1
817	1
818	1
819	1
820	1
821	0.956897
822	0.913793
823	0.87069
824	0.827586
825	0.793103
826	0.75
827	0.706897
828	0.663793
829	0.594828
830	0.543103
831	0.5
832	0.422414
833	0.37931
834	0
835	0
836	0.086207
837	0.12931
838	0.206897
839	0.25
840	0.318966
841	0.37931
842	0.439655
843	0.5
844	0.577586
845	0.62069
846	0.698276
847	0.75
848	0.810345
849	0.87069
850	0.922414
851	1
852	1
853	1
854	1
855	1
856	1
857	1
858	1
859	1
860	1
861	1
862	1
863	1
864	1
865	1
866	1
867	1
868	1
869	1
870	0.956897
871	0.913793
872	0.87069
873	0.827586
874	0.801724
875	0.75
876	0.706897
877	0.681034
878	0.594828
879	0.543103
880	0.5
881	0.439655
882	0.396552
883	0
884	0
885	0.086207
886	0.12931
887	0.206897
888	0.25
889	0.318966
890	0.37931
891	0.439655
892	0.5
893	0.577586
894	0.62069
895	0.698276
896	0.75
897	0.810345
898	0.87069
899	0.922414
900	1
901	1
902	1
903	1
904	1
905	1
906	1
907	1
908	1
909	1
910	1
911	1
912	1
913	1
914	1
915	1
916	1
917	1
918	1
919	0.956897
920	0.913793
921	0.87931
922	0.836207
923	0.801724
924	0.767241
925	0.724138
926	0.663793
927	0.612069
928	0.560345
929	0.517241
930	0.439655
931	0.37931
932	0
933	0
934	0.086207
935	0.12931
936	0.206897
937	0.25
938	0.318966
939	0.37931
940	0.439655
941	0.5
942	0.577586
943	0.62069
944	0.698276
945	0.75
946	0.810345
947	0.87069
948	0.922414
949	1
950	1
951	1
952	1
953	1
954	1
955	1
956	1
957	1
958	1
959	1
960	1
961	1
962	1
963	1
964	1
965	1
966	1
967	1
968	0.956897
969	0.913793
970	0.87069
971	0.827586
972	0.810345
973	0.758621
974	0.715517
975	0.681034
976	0.62069
977	0.586207
978	0.525862
979	0.439655
980	0.387931
981	0
982	0
983	0.086207
984	0.12931
985	0.206897
986	0.25
987	0.318966
988	0.37931
989	0.439655
990	0.5
991	0.577586
992	0.62069
993	0.698276
994	0.75
995	0.810345
996	0.87069
997	0.922414
998	1
999	1
1000	1
1001	1
1002	1
1003	1
1004	1
1005	1
1006	1
1007	1
1008	1
1009	1
1010	1
1011	1
1012	1
1013	1
1014	1
1015	1
1016	1
1017	0.956897
1018	0.922414
1019	0.87931
1020	0.836207
1021	0.801724
1022	0.767241
1023	0.732759
1024	0.672414
1025	0.603448
1026	0.560345
1027	0.525862
1028	0.456897
1029	0.413793
1030	0
1031	0
1032	0.086207
1033	0.12931
1034	0.206897
1035	0.25
1036	0.318966
1037	0.37931
1038	0.439655
1039	0.5
1040	0.577586
1041	0.62069
1042	0.698276
1043	0.75
1044	0.810345
1045	0.87069
1046	0.922414
1047	1
1048	1
1049	1
1050	1
1051	1
1052	1
1053	1
1054	1
1055	1
1056	1
1057	1
1058	1
1059	1
1060	1
1061	1
1062	1
1063	1
1064	1
1065	1
1066	0.965517
1067	0.922414
1068	0.87931
1069	0.836207
1070	0.801724
1071	0.767241
1072	0.732759
1073	0.689655
1074	0.62931
1075	0.577586
1076	0.543103
1077	0.448276
1078	0.405172
1079	0
1080	0
1081	0.086207
1082	0.12931
1083	0.206897
1084	0.25
1085	0.318966
1086	0.37931
1087	0.439655
1088	0.5
1089	0.577586
1090	0.62069
1091	0.698276
1092	0.75
1093	0.810345
1094	0.87069
1095	0.922414
1096	1
1097	1
1098	1
1099	1
1100	1
1101	1
1102	1
1103	1
1104	1
1105	1
1106	1
1107	1
1108	1
1109	1
1110	1
1111	1
1112	1
1113	1
1114	1
1115	0.965517
1116	0.922414
1117	0.887931
1118	0.844828
1119	0.810345
1120	0.775862
1121	0.732759
1122	0.689655
1123	0.62931
1124	0.586207
1125	0.543103
1126	0.456897
1127	0.405172
1128	0
1129	0
1130	0.086207
1131	0.12931
1132	0.206897
1133	0.25
1134	0.318966
1135	0.37931
1136	0.439655
1137	0.5
1138	0.577586
1139	0.62069
1140	0.698276
1141	0.75
1142	0.810345
1143	0.87069
1144	0.922414
1145	1
1146	1
1147	1
1148	1
1149	1
1150	1
1151	1
1152	1
1153	1
1154	1
1155	1
1156	1
1157	1
1158	1
1159	1
1160	1
1161	1
1162	1
1163	1
1164	0.956897
1165	0.913793
1166	0.87931
1167	0.836207
1168	0.801724
1169	0.758621
1170	0.715517
1171	0.681034
1172	0.612069
1173	0.568966
1174	0.525862
1175	0.456897
1176	0.413793
1177	0
1178	0
1179	0.086207
1180	0.12931
1181	0.206897
1182	0.25
1183	0.318966
1184	0.37931
1185	0.439655
1186	0.5
1187	0.577586
1188	0.62069
1189	0.698276
1190	0.75
1191	0.810345
1192	0.87069
1193	0.922414
1194	1
1195	1
1196	1
1197	1
1198	1
1199	1
1200	1
1201	1
1202	1
1203	1
1204	1
1205	1
1206	1
1207	1
1208	1
1209	1
1210	1
1211	1
1212	1
1213	0.956897
1214	0.913793
1215	0.87069
1216	0.827586
1217	0.793103
1218	0.75
1219	0.706897
1220	0.663793
1221	0.594828
1222	0.543103
1223	0.5
1224	0.422414
1225	0.37931
1226	0
1227	0
1228	0.086207
1229	0.12931
1230	0.206897
1231	0.25
1232	0.318966
1233	0.37931
1234	0.439655
1235	0.5
1236	0.577586
1237	0.62069
1238	0.698276
1239	0.75
1240	0.810345
1241	0.87069
1242	0.922414
1243	1
1244	1
1245	1
1246	1
1247	1
1248	1
1249	1
1250	1
1251	1
1252	1
1253	1
1254	1
1255	1
1256	1
1257	1
1258	1
1259	1
1260	1
1261	1
1262	0.956897
1263	0.922414
1264	0.87931
1265	0.836207
1266	0.801724
1267	0.758621
1268	0.724138
1269	0.681034
1270	0.612069
1271	0.560345
1272	0.525862
1273	0.448276
1274	0.405172
1275	0
1276	0
1277	0.086207
1278	0.12931
1279	0.206897
1280	0.25
1281	0.318966
1282	0.37931
1283	0.439655
1284	0.5
1285	0.577586
1286	0.62069
1287	0.698276
1288	0.75
1289	0.810345
1290	0.87069
1291	0.922414
1292	1
1293	1
1294	1
1295	1
1296	1
1297	1
1298	1
1299	1
1300	1
1301	1
1302	1
1303	1
1304	1
1305	1
1306	1
1307	1
1308	1
1309	1
1310	1
1311	0.956897
1312	0.922414
1313	0.87931
1314	0.844828
1315	0.810345
1316	0.767241
1317	0.732759
1318	0.689655
1319	0.62931
1320	0.577586
1321	0.534483
1322	0.465517
1323	0.405172
1324	0
1325	0
1326	0.086207
1327	0.12931
1328	0.206897
1329	0.25
1330	0.318966
1331	0.37931
1332	0.439655
1333	0.5
1334	0.577586
1335	0.62069
1336	0.698276
1337	0.75
1338	0.810345
1339	0.87069
1340	0.922414
1341	1
1342	1
1343	1
1344	1
1345	1
1346	1
1347	1
1348	1
1349	1
1350	1
1351	1
1352	1
1353	1
1354	1
1355	1
1356	1
1357	1
1358	1
1359	1
1360	0.956897
1361	0.913793
1362	0.87931
1363	0.844828
1364	0.810345
1365	0.775862
1366	0.724138
1367	0.681034
1368	0.62931
1369	0.586207
1370	0.543103
1371	0.456897
1372	0.405172
1373	0
1374	0
1375	0.086207
1376	0.12931
1377	0.206897
1378	0.25
1379	0.318966
1380	0.37931
1381	0.439655
1382	0.5
1383	0.577586
1384	0.62069
1385	0.698276
1386	0.75
1387	0.810345
1388	0.87069
1389	0.922414
1390	1
1391	1
1392	1
1393	1
1394	1
1395	1
1396	1
1397	1
1398	1
1399	1
1400	1
1401	1
1402	1
1403	1
1404	1
1405	1
1406	1
1407	1
1408	1
1409	0.965517
1410	0.922414
1411	0.887931
1412	0.844828
1413	0.810345
1414	0.758621
1415	0.715517
1416	0.689655
1417	0.62931
1418	0.577586
1419	0.517241
1420	0.439655
1421	0.396552
1422	0
1423	0
1424	0.086207
1425	0.12931
1426	0.206897
1427	0.25
1428	0.318966
1429	0.37931
1430	0.439655
1431	0.5
1432	0.577586
1433	0.62069
1434	0.698276
1435	0.75
1436	0.810345
1437	0.87069
1438	0.922414
1439	1
1440	1
1441	1
1442	1
1443	1
1444	1
1445	1
1446	1
1447	1
1448	1
1449	1
1450	1
1451	1
1452	1
1453	1
1454	1
1455	1
1456	1
1457	1
1458	0.956897
1459	0.913793
1460	0.87931
1461	0.827586
1462	0.801724
1463	0.758621
1464	0.732759
1465	0.681034
1466	0.612069
1467	0.560345
1468	0.525862
1469	0.465517
1470	0.396552
1471	0
1472	0
1473	0.086207
1474	0.12931
1475	0.206897
1476	0.25
1477	0.318966
1478	0.37931
1479	0.439655
1480	0.5
1481	0.577586
1482	0.62069
1483	0.698276
1484	0.75
1485	0.810345
1486	0.87069
1487	0.922414
1488	1
1489	1
1490	1
1491	1
1492	1
1493	1
1494	1
1495	1
1496	1
1497	1
1498	1
1499	1
1500	1
1501	1
1502	1
1503	1
1504	1
1505	1
1506	1
1507	0.956897
1508	0.913793
1509	0.87069
1510	0.836207
1511	0.801724
1512	0.75
1513	0.715517
1514	0.672414
1515	0.603448
1516	0.560345
1517	0.525862
1518	0.439655
1519	0.387931
1520	0
1521	0
1522	0.086207
1523	0.12931
1524	0.206897
1525	0.25
1526	0.318966
1527	0.37931
1528	0.439655
1529	0.5
1530	0.577586
1531	0.62069
1532	0.698276
1533	0.75
1534	0.810345
1535	0.87069
1536	0.922414
1537	1
1538	1
1539	1
1540	1
1541	1
1542	1
1543	1
1544	1
1545	1
1546	1
1547	1
1548	1
1549	1
1550	1
1551	1
1552	1
1553	1
1554	1
1555	1
1556	0.956897
1557	0.913793
1558	0.87069
1559	0.836207
1560	0.793103
1561	0.767241
1562	0.706897
1563	0.663793
1564	0.603448
1565	0.560345
1566	0.5
1567	0.422414
1568	0.387931
1569	0
1570	0
1571	0.086207
1572	0.12931
1573	0.206897
1574	0.25
1575	0.318966
1576	0.37931
1577	0.439655
1578	0.5
1579	0.577586
1580	0.62069
1581	0.698276
1582	0.75
1583	0.810345
1584	0.87069
1585	0.922414
1586	1
1587	1
1588	1
1589	1
1590	1
1591	1
1592	1
1593	1
1594	1
1595	1
1596	1
1597	1
1598	1
1599	1
1600	1
1601	1
1602	1
1603	1
1604	1
1605	0.956897
1606	0.913793
1607	0.87069
1608	0.827586
1609	0.793103
1610	0.75
1611	0.706897
1612	0.663793
1613	0.594828
1614	0.543103
1615	0.5
1616	0.422414
1617	0.37931
1618	0
1619	0
1620	0.086207
1621	0.12931
1622	0.206897
1623	0.25
1624	0.310345
1625	0.37069
1626	0.431034
1627	0.482759
1628	0.560345
1629	0.603448
1630	0.672414
1631	0.724138
1632	0.784483
1633	0.844828
1634	0.887931
1635	0.965517
1636	0.965517
1637	0.965517
1638	0.965517
1639	0.965517
1640	0.965517
1641	0.965517
1642	0.965517
1643	0.965517
1644	0.965517
1645	0.965517
1646	0.965517
1647	0.965517
1648	0.965517
1649	0.965517
1650	0.965517
1651	0.965517
1652	0.965517
1653	0.965517
1654	0.922414
1655	0.87931
1656	0.836207
1657	0.793103
1658	0.758621
1659	0.715517
1660	0.681034
1661	0.637931
1662	0.568966
1663	0.517241
1664	0.482759
1665	0.405172
1666	0.362069
1667	0
1668	0
1669	0.077586
1670	0.12069
1671	0.198276
1672	0.241379
1673	0.301724
1674	0.362069
1675	0.422414
1676	0.474138
1677	0.551724
1678	0.594828
1679	0.663793
1680	0.715517
1681	0.775862
1682	0.836207
1683	0.87931
1684	0.956897
1685	0.956897
1686	0.956897
1687	0.956897
1688	0.956897
1689	0.956897
1690	0.956897
1691	0.956897
1692	0.956897
1693	0.956897
1694	0.956897
1695	0.956897
1696	0.956897
1697	0.956897
1698	0.956897
1699	0.956897
1700	0.956897
1701	0.956897
1702	0.956897
1703	0.913793
1704	0.87931
1705	0.836207
1706	0.793103
1707	0.758621
1708	0.715517
1709	0.681034
1710	0.637931
1711	0.568966
1712	0.517241
1713	0.482759
1714	0.405172
1715	0.362069
1716	0
1717	0
1718	0.077586
1719	0.12069
1720	0.189655
1721	0.232759
1722	0.293103
1723	0.344828
1724	0.405172
1725	0.456897
1726	0.525862
1727	0.568966
1728	0.637931
1729	0.689655
1730	0.741379
1731	0.801724
1732	0.844828
1733	0.913793
1734	0.913793
1735	0.913793
1736	0.913793
1737	0.913793
1738	0.913793
1739	0.913793
1740	0.913793
1741	0.913793
1742	0.913793
1743	0.913793
1744	0.913793
1745	0.913793
1746	0.913793
1747	0.913793
1748	0.913793
1749	0.913793
1750	0.913793
1751	0.913793
1752	0.87069
1753	0.836207
1754	0.793103
1755	0.758621
1756	0.724138
1757	0.681034
1758	0.646552
1759	0.603448
1760	0.543103
1761	0.491379
1762	0.456897
1763	0.387931
1764	0.344828
1765	0
1766	0
1767	0.068966
1768	0.112069
1769	0.181034
1770	0.215517
1771	0.275862
1772	0.327586
1773	0.37931
1774	0.431034
1775	0.5
1776	0.543103
1777	0.603448
1778	0.655172
1779	0.706897
1780	0.758621
1781	0.801724
1782	0.87069
1783	0.87069
1784	0.87069
1785	0.87069
1786	0.87069
1787	0.87069
1788	0.87069
1789	0.87069
1790	0.87069
1791	0.87069
1792	0.87069
1793	0.87069
1794	0.87069
1795	0.87069
1796	0.87069
1797	0.87069
1798	0.87069
1799	0.87069
1800	0.87069
1801	0.836207
1802	0.801724
1803	0.758621
1804	0.724138
1805	0.689655
1806	0.655172
1807	0.62069
1808	0.577586
1809	0.517241
1810	0.474138
1811	0.439655
1812	0.37069
1813	0.327586
1814	0
1815	0
1816	0.068966
1817	0.112069
1818	0.181034
1819	0.215517
1820	0.267241
1821	0.318966
1822	0.37069
1823	0.422414
1824	0.482759
1825	0.525862
1826	0.586207
1827	0.62931
1828	0.681034
1829	0.732759
1830	0.767241
1831	0.836207
1832	0.836207
1833	0.836207
1834	0.836207
1835	0.836207
1836	0.836207
1837	0.836207
1838	0.836207
1839	0.836207
1840	0.836207
1841	0.836207
1842	0.836207
1843	0.836207
1844	0.836207
1845	0.836207
1846	0.836207
1847	0.836207
1848	0.836207
1849	0.836207
1850	0.801724
1851	0.767241
1852	0.724138
1853	0.689655
1854	0.655172
1855	0.62069
1856	0.586207
1857	0.551724
1858	0.491379
1859	0.448276
1860	0.413793
1861	0.353448
1862	0.310345
1863	0
1864	0
1865	0.068966
1866	0.103448
1867	0.172414
1868	0.206897
1869	0.258621
1870	0.310345
1871	0.362069
1872	0.413793
1873	0.474138
1874	0.508621
1875	0.568966
1876	0.612069
1877	0.655172
1878	0.706897
1879	0.741379
1880	0.810345
1881	0.810345
1882	0.810345
1883	0.810345
1884	0.810345
1885	0.810345
1886	0.810345
1887	0.810345
1888	0.810345
1889	0.810345
1890	0.810345
1891	0.810345
1892	0.810345
1893	0.810345
1894	0.810345
1895	0.810345
1896	0.810345
1897	0.810345
1898	0.810345
1899	0.775862
1900	0.741379
1901	0.706897
1902	0.672414
1903	0.637931
1904	0.603448
1905	0.568966
1906	0.534483
1907	0.474138
1908	0.431034
1909	0.396552
1910	0.336207
1911	0.301724
1912	0
1913	0
1914	0.068966
1915	0.103448
1916	0.163793
1917	0.198276
1918	0.25
1919	0.301724
1920	0.344828
1921	0.396552
1922	0.456897
1923	0.491379
1924	0.551724
1925	0.594828
1926	0.637931
1927	0.689655
1928	0.715517
1929	0.784483
1930	0.784483
1931	0.784483
1932	0.784483
1933	0.784483
1934	0.784483
1935	0.784483
1936	0.784483
1937	0.784483
1938	0.784483
1939	0.784483
1940	0.784483
1941	0.784483
1942	0.784483
1943	0.784483
1944	0.784483
1945	0.784483
1946	0.784483
1947	0.784483
1948	0.75
1949	0.715517
1950	0.681034
1951	0.646552
1952	0.62069
1953	0.586207
1954	0.551724
1955	0.517241
1956	0.465517
1957	0.422414
1958	0.387931
1959	0.327586
1960	0.293103
1961	0
1962	0
1963	0.060345
1964	0.094828
1965	0.155172
1966	0.189655
1967	0.232759
1968	0.284483
1969	0.327586
1970	0.37069
1971	0.431034
1972	0.465517
1973	0.517241
1974	0.560345
1975	0.594828
1976	0.646552
1977	0.672414
1978	0.732759
1979	0.732759
1980	0.732759
1981	0.732759
1982	0.732759
1983	0.732759
1984	0.732759
1985	0.732759
1986	0.732759
1987	0.732759
1988	0.732759
1989	0.732759
1990	0.732759
1991	0.732759
1992	0.732759
1993	0.732759
1994	0.732759
1995	0.732759
1996	0.732759
1997	0.698276
1998	0.672414
1999	0.637931
2000	0.603448
2001	0.577586
2002	0.543103
2003	0.517241
2004	0.482759
2005	0.431034
2006	0.387931
2007	0.362069
2008	0.301724
2009	0.267241
2010	0
2011	0
2012	0.060345
2013	0.094828
2014	0.146552
2015	0.181034
2016	0.224138
2017	0.267241
2018	0.310345
2019	0.353448
2020	0.405172
2021	0.439655
2022	0.482759
2023	0.525862
2024	0.560345
2025	0.603448
2026	0.62931
2027	0.689655
2028	0.689655
2029	0.689655
2030	0.689655
2031	0.689655
2032	0.689655
