#1	
double	T_HTF_inlet(2502,2)
7126972.468	26.89
7126982.468	26.88
7126992.519	26.86
7127002.519	26.84
7127012.519	26.81
7127022.520	26.80
7127032.520	26.77
7127042.521	26.76
7127052.471	26.75
7127062.472	26.72
7127072.472	26.72
7127082.522	26.70
7127092.473	26.70
7127102.523	26.67
7127112.524	26.66
7127122.524	26.65
7127132.475	26.63
7127142.475	26.63
7127152.525	26.60
7127162.476	26.59
7127172.476	26.59
7127182.527	26.58
7127192.477	26.58
7127202.478	26.58
7127212.478	26.55
7127222.478	26.54
7127232.529	26.55
7127242.529	26.56
7127252.480	26.54
7127262.480	26.54
7127272.531	26.51
7127282.531	26.50
7127292.481	26.51
7127302.482	26.50
7127312.482	26.49
7127322.533	24.94
7127332.483	25.16
7127342.484	25.16
7127352.534	25.23
7127362.484	25.39
7127372.535	25.53
7127382.535	25.63
7127392.486	25.71
7127402.486	26.11
7127412.537	27.20
7127422.487	28.02
7127432.537	27.41
7127442.538	27.31
7127452.538	27.19
7127462.539	27.09
7127472.489	27.02
7127482.540	26.94
7127492.490	26.88
7127502.540	26.85
7127512.491	26.80
7127522.491	26.77
7127532.542	26.75
7127542.542	26.73
7127552.543	26.73
7127562.543	26.71
7127572.493	26.70
7127582.544	26.68
7127592.544	26.68
7127602.545	26.67
7127612.495	26.68
7127622.546	26.65
7127632.546	26.65
7127642.496	26.64
7127652.497	26.63
7127662.497	26.62
7127672.548	26.63
7127682.548	26.61
7127692.549	26.61
7127702.549	26.60
7127712.549	26.59
7127722.500	26.58
7127732.500	26.59
7127742.501	26.56
7127752.501	26.57
7127762.502	26.56
7127772.552	26.54
7127782.552	26.54
7127792.503	26.53
7127802.553	26.50
7127812.504	26.50
7127822.554	26.49
7127832.505	26.49
7127842.505	26.47
7127852.555	26.48
7127862.556	26.46
7127872.506	26.46
7127882.507	26.44
7127892.557	26.43
7127902.557	26.43
7127912.558	26.41
7127922.558	26.40
7127932.509	26.39
7127942.559	26.40
7127952.560	26.36
7127962.560	26.34
7127972.560	26.34
7127982.561	26.33
7127992.511	26.32
7128002.512	26.30
7128012.512	26.29
7128022.563	26.28
7128032.563	26.26
7128042.513	26.27
7128052.514	26.27
7128062.514	26.25
7128072.565	26.24
7128082.565	26.23
7128092.516	26.22
7128102.516	26.20
7128112.566	26.19
7128122.567	26.19
7128132.567	26.18
7128142.568	26.17
7128152.518	26.16
7128162.519	26.14
7128172.569	26.14
7128182.569	26.12
7128192.570	26.13
7128202.520	26.11
7128212.571	26.10
7128222.571	26.08
7128232.522	26.07
7128242.522	26.05
7128252.572	26.04
7128262.523	26.02
7128272.573	26.01
7128282.574	26.00
7128292.574	25.98
7128302.575	25.96
7128312.525	25.95
7128322.575	25.94
7128332.526	25.93
7128342.526	25.93
7128352.577	25.91
7128362.527	25.92
7128372.528	25.91
7128382.528	25.89
7128392.578	25.88
7128402.579	25.87
7128412.579	25.84
7128422.580	25.83
7128432.580	25.84
7128442.581	25.81
7128452.581	25.79
7128462.531	25.77
7128472.582	25.77
7128482.582	25.76
7128492.533	25.74
7128502.583	25.71
7128512.534	25.71
7128522.584	25.69
7128532.534	25.67
7128542.535	25.66
7128552.585	25.63
7128562.536	25.63
7128572.586	25.61
7128582.537	25.59
7128592.537	25.58
7128602.587	25.57
7128612.538	25.55
7128622.588	25.55
7128632.589	25.53
7128642.589	25.52
7128652.590	25.49
7128662.540	25.49
7128672.590	25.49
7128682.591	25.47
7128692.591	25.46
7128702.592	25.46
7128712.592	25.45
7128722.593	25.44
7128732.543	25.45
7128742.593	25.43
7128752.594	25.44
7128762.594	25.42
7128772.595	25.43
7128782.595	25.43
7128792.596	25.42
7128802.546	25.42
7128812.546	25.40
7128822.597	25.40
7128832.597	25.39
7128842.598	25.38
7128852.598	25.38
7128862.599	25.37
7128872.549	25.34
7128882.599	25.34
7128892.600	25.33
7128902.600	25.32
7128912.601	25.32
7128922.551	25.32
7128932.602	25.32
7128942.552	25.29
7128952.602	25.29
7128962.603	25.29
7128972.553	25.27
7128982.604	25.28
7128992.554	25.25
7129002.605	25.26
7129012.555	25.25
7129022.605	25.23
7129032.606	25.22
7129042.556	25.21
7129052.557	25.19
7129062.607	25.18
7129072.558	25.18
7129082.558	25.17
7129092.608	25.16
7129102.609	25.15
7129112.559	25.16
7129122.610	25.15
7129132.610	25.11
7129142.611	25.11
7129152.561	25.09
7129162.611	25.09
7129172.612	25.08
7129182.612	25.08
7129192.613	25.07
7129202.613	25.05
7129212.614	25.07
7129222.614	25.04
7129232.614	25.04
7129242.615	25.03
7129252.615	25.01
7129262.566	25.00
7129272.616	25.00
7129282.617	24.99
7129292.617	24.98
7129302.617	24.97
7129312.618	24.97
7129322.618	24.96
7129332.619	24.96
7129342.619	24.96
7129352.570	24.94
7129362.620	24.94
7129372.620	24.94
7129382.621	24.94
7129392.621	24.92
7129402.622	24.91
7129412.622	24.91
7129422.623	24.90
7129432.623	24.90
7129442.623	24.89
7129452.574	24.87
7129462.574	24.87
7129472.625	24.87
7129482.625	24.87
7129492.626	24.85
7129502.626	24.84
7129512.626	24.84
7129522.627	24.82
7129532.627	24.82
7129542.628	24.82
7129552.628	24.81
7129562.629	24.79
7129572.579	24.79
7129582.579	24.79
7129592.580	24.78
7129602.630	24.78
7129612.631	24.77
7129622.631	24.76
7129632.582	24.75
7129642.582	24.73
7129652.582	24.73
7129662.633	24.71
7129672.583	24.71
7129682.584	24.69
7129692.634	24.67
7129702.635	24.67
7129712.585	24.66
7129722.585	24.67
7129732.636	24.65
7129742.636	24.63
7129752.637	24.61
7129762.637	24.61
7129772.638	24.60
7129782.638	24.60
7129792.638	24.61
7129802.639	24.59
7129812.589	24.58
7129822.640	24.57
7129832.640	24.57
7129842.641	24.56
7129852.641	24.55
7129862.591	24.55
7129872.642	24.55
7129882.592	24.54
7129892.643	24.53
7129902.643	24.53
7129912.644	24.53
7129922.594	24.54
7129932.594	24.53
7129942.595	24.53
7129952.595	24.53
7129962.596	24.51
7129972.646	24.51
7129982.647	24.51
7129992.597	24.50
7130002.597	24.51
7130012.648	24.50
7130022.648	24.51
7130032.599	24.50
7130042.649	24.51
7130052.600	24.51
7130062.600	24.51
7130072.650	24.51
7130082.651	24.50
7130092.651	24.52
7130102.652	24.50
7130112.652	24.50
7130122.603	24.51
7130132.653	24.50
7130142.653	24.50
7130152.654	24.50
7130162.654	24.49
7130172.605	24.48
7130182.655	24.47
7130192.606	24.47
7130202.606	24.47
7130212.606	24.47
7130222.657	24.47
7130232.657	24.48
7130242.658	24.46
7130252.658	24.47
7130262.659	24.46
7130272.659	24.45
7130282.609	24.46
7130292.610	24.46
7130302.660	24.44
7130312.661	24.43
7130322.611	24.42
7130332.662	24.43
7130342.662	24.42
7130352.662	24.43
7130362.613	24.42
7130372.663	24.43
7130382.614	24.41
7130392.614	24.42
7130402.615	24.41
7130412.665	24.41
7130422.665	24.41
7130432.666	24.40
7130442.666	24.41
7130452.617	24.40
7130462.617	24.38
7130472.618	24.38
7130482.668	24.37
7130492.668	24.38
7130502.669	24.36
7130512.619	24.37
7130522.670	24.36
7130532.670	24.35
7130542.670	24.35
7130552.671	24.35
7130562.621	24.34
7130572.672	24.34
7130582.622	24.32
7130592.673	24.33
7130602.673	24.32
7130612.673	24.31
7130622.624	24.31
7130632.674	24.30
7130642.625	24.31
7130652.625	24.29
7130662.676	24.29
7130672.676	24.30
7130682.676	24.30
7130692.677	24.29
7130702.627	24.29
7130712.678	24.29
7130722.678	24.26
7130732.629	24.27
7130742.679	24.24
7130752.629	24.24
7130762.680	24.23
7130772.630	24.22
7130782.681	24.21
7130792.631	24.22
7130802.632	24.21
7130812.682	24.22
7130822.632	24.22
7130832.633	24.21
7130842.683	24.21
7130852.634	24.22
7130862.684	24.21
7130872.635	24.20
7130882.685	24.21
7130892.635	24.20
7130902.636	24.20
7130912.636	24.20
7130922.637	24.18
7130932.637	24.18
7130942.688	24.18
7130952.638	24.19
7130962.638	24.17
7130972.689	24.17
7130982.639	24.18
7130992.640	24.17
7131002.690	24.18
7131012.691	24.18
7131022.641	24.17
7131032.691	24.17
7131042.642	24.18
7131052.692	24.16
7131062.643	24.17
7131072.643	24.16
7131082.694	24.17
7131092.644	24.17
7131102.694	24.17
7131112.695	24.15
7131122.645	24.15
7131132.696	24.16
7131142.696	24.15
7131152.647	24.16
7131162.697	24.15
7131172.697	24.16
7131182.698	24.15
7131192.698	24.15
7131202.649	24.14
7131212.699	24.14
7131222.700	24.15
7131232.650	24.15
7131242.650	24.14
7131252.651	24.14
7131262.651	24.14
7131272.652	24.13
7131282.652	24.12
7131292.703	24.13
7131302.703	24.13
7131312.703	24.12
7131322.704	24.13
