#1	
double	T_HTF_inlet(2502,2)
7137642.974	67.18
7137652.925	67.22
7137662.925	67.26
7137672.926	67.32
7137682.926	67.34
7137692.977	67.36
7137702.927	67.37
7137712.977	67.38
7137722.978	67.37
7137732.928	67.37
7137742.979	67.38
7137752.929	67.38
7137762.930	67.36
7137772.980	67.37
7137782.980	67.35
7137792.931	67.34
7137802.931	67.35
7137812.932	67.33
7137822.932	67.32
7137832.983	67.31
7137842.983	67.32
7137852.983	67.30
7137862.934	67.29
7137872.984	67.28
7137882.935	67.27
7137892.935	67.26
7137902.936	67.25
7137912.986	67.25
7137922.986	67.24
7137932.987	67.24
7137942.937	67.25
7137952.938	67.24
7137962.988	67.23
7137972.939	67.24
7137982.989	67.24
7137992.989	67.23
7138002.990	67.26
7138012.940	67.26
7138022.941	67.30
7138032.941	67.32
7138042.942	67.35
7138052.992	67.39
7138062.942	67.41
7138072.993	67.44
7138082.943	67.48
7138092.994	67.50
7138102.944	67.51
7138112.945	67.52
7138122.945	67.52
7138132.945	67.55
7138142.996	67.53
7138152.946	67.54
7138162.947	67.55
7138172.947	67.54
7138182.948	67.53
7138192.948	67.52
7138202.998	67.52
7138212.999	67.51
7138222.949	67.49
7138232.950	67.49
7138243.000	67.49
7138252.951	67.48
7138262.951	67.45
7138273.001	67.45
7138282.952	67.44
7138292.952	67.42
7138302.953	67.42
7138312.953	67.42
7138322.954	67.41
7138333.004	67.40
7138343.004	67.38
7138352.955	67.38
7138363.005	67.37
7138372.956	67.36
7138382.956	67.35
7138392.957	67.33
7138402.957	67.33
7138412.957	67.32
7138422.958	67.33
7138432.958	67.36
7138442.959	67.39
7138452.959	67.43
7138462.960	67.45
7138472.960	67.49
7138482.960	67.51
7138492.961	67.56
7138502.961	67.59
7138513.012	67.64
7138522.962	67.69
7138533.012	67.72
7138543.013	67.75
7138552.963	67.78
7138563.014	67.80
7138572.964	67.81
7138582.965	67.82
7138592.965	67.83
7138603.015	67.83
7138613.016	67.84
7138623.016	67.84
7138632.967	67.83
7138642.967	67.83
7138652.968	67.82
7138663.018	67.81
7138673.018	67.81
7138683.019	67.82
7138693.019	67.82
7138702.970	67.82
7138712.970	67.81
7138723.021	67.82
7138732.971	67.81
7138743.021	67.79
7138753.022	67.79
7138762.972	67.76
7138773.023	67.76
7138782.973	67.76
7138792.974	67.75
7138802.974	67.74
7138812.974	67.73
7138823.025	67.71
7138833.025	67.72
7138843.026	67.70
7138852.976	67.69
7138862.977	67.69
7138873.027	67.68
7138882.977	67.68
7138893.028	67.65
7138902.978	67.68
7138913.029	67.69
7138922.979	67.71
7138933.030	67.74
7138943.030	67.77
7138952.980	67.80
7138963.031	67.83
7138973.031	67.87
7138983.032	67.91
7138993.032	67.95
7139003.033	68.01
7139013.033	68.04
7139023.033	68.06
7139032.984	68.10
7139043.034	68.11
7139052.985	68.11
7139063.035	68.11
7139072.986	68.10
7139083.036	68.10
7139092.986	68.09
7139102.987	68.09
7139112.987	68.07
7139122.988	68.06
7139133.038	68.05
7139142.989	68.03
7139153.039	68.03
7139163.039	68.02
7139172.990	68.00
7139182.990	67.99
7139193.041	67.97
7139203.041	67.96
7139212.992	67.95
7139222.992	67.94
7139233.042	67.93
7139242.993	67.90
7139253.043	67.90
7139263.044	67.88
7139273.044	67.86
7139283.045	67.86
7139292.995	67.84
7139303.045	67.82
7139312.996	67.80
7139323.046	67.78
7139332.997	67.78
7139342.997	67.76
7139352.998	67.75
7139363.048	67.75
7139372.998	67.74
7139383.049	67.72
7139393.049	67.72
7139403.000	67.70
7139413.000	67.69
7139423.001	67.69
7139433.051	67.68
7139443.001	67.69
7139453.052	67.70
7139463.002	67.72
7139473.003	67.74
7139483.003	67.77
7139493.054	67.78
7139503.004	67.82
7139513.004	67.85
7139523.055	67.89
7139533.055	67.93
7139543.006	67.97
7139553.056	67.99
7139563.007	68.02
7139573.057	68.04
7139583.007	68.06
7139593.008	68.08
7139603.008	68.07
7139613.059	68.08
7139623.009	68.07
7139633.060	68.08
7139643.060	68.10
7139653.060	68.07
7139663.061	68.07
7139673.011	68.06
7139683.062	68.06
7139693.012	68.05
7139703.013	68.05
7139713.063	68.05
7139723.063	68.04
7139733.014	68.03
7139743.014	68.02
7139753.015	68.02
7139763.065	68.02
7139773.066	68.00
7139783.016	67.99
7139793.066	67.97
7139803.017	67.97
7139813.067	67.96
7139823.068	67.95
7139833.018	67.95
7139843.019	67.93
7139853.069	67.94
7139863.019	67.93
7139873.020	67.92
7139883.020	67.90
7139893.071	67.90
7139903.021	67.89
7139913.072	67.89
7139923.072	67.88
7139933.022	67.87
7139943.023	67.86
7139953.073	67.85
7139963.024	67.84
7139973.024	67.85
7139983.025	67.83
7139993.025	67.83
7140003.025	67.82
7140013.076	67.83
7140023.026	67.81
7140033.027	67.82
7140043.027	67.81
7140053.028	67.83
7140063.078	67.84
7140073.028	67.87
7140083.079	67.89
7140093.079	67.92
7140103.080	67.94
7140113.030	67.99
7140123.081	68.02
7140133.031	68.07
7140143.081	68.09
7140153.082	68.12
7140163.032	68.14
7140173.083	68.15
7140183.033	68.15
7140193.084	68.16
7140203.084	68.16
7140213.084	68.16
7140223.085	68.15
7140233.035	68.16
7140243.036	68.16
7140253.086	68.15
7140263.087	68.16
7140273.037	68.15
7140283.087	68.14
7140293.088	68.13
7140303.088	68.14
7140313.089	68.12
7140323.039	68.12
7140333.040	68.09
7140343.040	68.09
7140353.040	68.08
7140363.091	68.07
7140373.041	68.06
7140383.042	68.06
7140393.042	68.04
7140403.043	68.04
7140413.043	68.04
7140423.093	68.03
7140433.094	68.02
7140443.044	68.02
7140453.095	68.01
7140463.045	68.00
7140473.096	67.99
7140483.046	67.98
7140493.046	67.98
7140503.097	67.96
7140513.047	67.96
7140523.048	67.92
7140533.048	67.93
7140543.049	67.91
7140553.049	67.91
7140563.049	67.87
7140573.050	67.87
7140583.100	67.87
7140593.101	67.86
7140603.051	67.85
7140613.102	67.86
7140623.102	67.87
7140633.102	67.88
7140643.103	67.91
7140653.053	67.93
7140663.054	67.97
7140673.054	68.00
7140683.105	68.03
7140693.105	68.06
7140703.105	68.08
7140713.106	68.10
7140723.056	68.12
7140733.057	68.11
7140743.107	68.13
7140753.108	68.14
7140763.108	68.13
7140773.108	68.12
7140783.109	68.12
7140793.109	68.12
7140803.110	68.12
7140813.060	68.11
7140823.061	68.10
7140833.111	68.10
7140843.061	68.10
7140853.112	68.10
7140863.062	68.08
7140873.113	68.09
7140883.113	68.07
7140893.064	68.08
7140903.064	68.07
7140913.114	68.05
7140923.065	68.05
7140933.065	68.03
7140943.116	68.02
7140953.066	68.04
7140963.067	68.02
7140973.067	68.02
7140983.117	68.02
7140993.118	68.01
7141003.068	68.00
7141013.119	67.98
7141023.119	67.97
7141033.120	67.97
7141043.120	67.97
7141053.070	67.95
7141063.121	67.94
7141073.121	67.93
7141083.122	67.92
7141093.072	67.92
7141103.122	67.90
7141113.073	67.88
7141123.123	67.89
7141133.124	67.87
7141143.074	67.85
7141153.075	67.85
7141163.125	67.83
7141173.075	67.85
7141183.076	67.85
7141193.126	67.89
7141203.127	67.92
7141213.127	67.95
7141223.078	67.98
7141233.128	67.98
7141243.128	68.02
7141253.129	68.04
7141263.129	68.07
7141273.130	68.09
7141283.130	68.09
7141293.131	68.09
7141303.131	68.10
7141313.081	68.10
7141323.082	68.10
7141333.132	68.09
7141343.083	68.07
7141353.133	68.07
7141363.134	67.83
7141373.134	67.36
7141383.084	67.09
7141393.135	66.84
7141403.135	66.53
7141413.136	66.22
7141423.136	65.81
7141433.087	65.45
7141443.137	65.09
7141453.087	64.75
7141463.138	64.43
7141473.138	64.07
7141483.089	63.61
7141493.089	63.25
7141503.140	62.86
7141513.140	62.47
7141523.140	62.06
7141533.141	61.55
7141543.141	61.16
7141553.142	60.76
7141563.142	60.38
7141573.143	60.02
31557185.890	0.00
31557185.900	0.00
31557185.910	0.00
31557185.920	0.00
31557185.930	0.00
31557185.940	0.00
31557185.950	0.00
31557185.960	0.00
31557185.970	0.00
31557185.980	0.00
31557185.990	0.00
31557186.000	0.00
31557186.010	0.00
31557186.020	0.00
31557186.030	0.00
31557186.040	0.00
31557186.050	0.00
31557186.060	0.00
31557186.070	0.00
31557186.080	0.00
31557186.090	0.00
31557186.100	0.00
31557186.110	0.00
31557186.120	0.00
31557186.130	0.00
31557186.140	0.00
31557186.150	0.00
31557186.160	0.00
31557186.170	0.00
31557186.180	0.00
31557186.190	0.00
31557186.200	0.00
31557186.210	0.00
31557186.220	0.00
31557186.230	0.00
31557186.240	0.00
31557186.250	0.00
31557186.260	0.00
31557186.270	0.00
31557186.280	0.00
31557186.290	0.00
31557186.300	0.00
31557186.310	0.00
31557186.320	0.00
31557186.330	0.00
31557186.340	0.00
31557186.350	0.00
31557186.360	0.00
31557186.370	0.00
31557186.380	0.00
31557186.390	0.00
31557186.400	0.00
31557186.410	0.00
31557186.420	0.00
31557186.430	0.00
31557186.440	0.00
31557186.450	0.00
31557186.460	0.00
31557186.470	0.00
31557186.480	0.00
31557186.490	0.00
31557186.500	0.00
31557186.510	0.00
31557186.520	0.00
31557186.530	0.00
31557186.540	0.00
31557186.550	0.00
31557186.560	0.00
31557186.570	0.00
31557186.580	0.00
31557186.590	0.00
31557186.600	0.00
31557186.610	0.00
31557186.620	0.00
31557186.630	0.00
31557186.640	0.00
31557186.650	0.00
31557186.660	0.00
31557186.670	0.00
31557186.680	0.00
31557186.690	0.00
31557186.700	0.00
31557186.710	0.00
31557186.720	0.00
31557186.730	0.00
31557186.740	0.00
31557186.750	0.00
31557186.760	0.00
31557186.770	0.00
31557186.780	0.00
31557186.790	0.00
31557186.800	0.00
31557186.810	0.00
31557186.820	0.00
31557186.830	0.00
31557186.840	0.00
31557186.850	0.00
31557186.860	0.00
31557186.870	0.00
31557186.880	0.00
31557186.890	0.00
31557186.900	0.00
31557186.910	0.00
31557186.920	0.00
31557186.930	0.00
31557186.940	0.00
31557186.950	0.00
31557186.960	0.00
31557186.970	0.00
31557186.980	0.00
31557186.990	0.00
31557187.000	0.00
31557187.010	0.00
31557187.020	0.00
31557187.030	0.00
31557187.040	0.00
31557187.050	0.00
31557187.060	0.00
31557187.070	0.00
31557187.080	0.00
31557187.090	0.00
31557187.100	0.00
31557187.110	0.00
31557187.120	0.00
31557187.130	0.00
31557187.140	0.00
31557187.150	0.00
31557187.160	0.00
31557187.170	0.00
31557187.180	0.00
31557187.190	0.00
31557187.200	0.00
31557187.210	0.00
31557187.220	0.00
31557187.230	0.00
31557187.240	0.00
31557187.250	0.00
31557187.260	0.00
31557187.270	0.00
31557187.280	0.00
31557187.290	0.00
31557187.300	0.00
31557187.310	0.00
31557187.320	0.00
31557187.330	0.00
31557187.340	0.00
31557187.350	0.00
31557187.360	0.00
31557187.370	0.00
31557187.380	0.00
31557187.390	0.00
31557187.400	0.00
31557187.410	0.00
31557187.420	0.00
31557187.430	0.00
31557187.440	0.00
31557187.450	0.00
31557187.460	0.00
31557187.470	0.00
31557187.480	0.00
31557187.490	0.00
31557187.500	0.00
31557187.510	0.00
31557187.520	0.00
31557187.530	0.00
31557187.540	0.00
31557187.550	0.00
31557187.560	0.00
31557187.570	0.00
31557187.580	0.00
31557187.590	0.00
31557187.600	0.00
31557187.610	0.00
31557187.620	0.00
31557187.630	0.00
31557187.640	0.00
31557187.650	0.00
31557187.660	0.00
31557187.670	0.00
31557187.680	0.00
31557187.690	0.00
31557187.700	0.00
31557187.710	0.00
31557187.720	0.00
31557187.730	0.00
31557187.740	0.00
31557187.750	0.00
31557187.760	0.00
31557187.770	0.00
31557187.780	0.00
31557187.790	0.00
31557187.800	0.00
31557187.810	0.00
31557187.820	0.00
31557187.830	0.00
31557187.840	0.00
31557187.850	0.00
31557187.860	0.00
31557187.870	0.00
31557187.880	0.00
31557187.890	0.00
31557187.900	0.00
31557187.910	0.00
31557187.920	0.00
31557187.930	0.00
31557187.940	0.00
31557187.950	0.00
31557187.960	0.00
31557187.970	0.00
31557187.980	0.00
31557187.990	0.00
31557188.000	0.00
31557188.010	0.00
31557188.020	0.00
31557188.030	0.00
31557188.040	0.00
31557188.050	0.00
31557188.060	0.00
31557188.070	0.00
31557188.080	0.00
31557188.090	0.00
31557188.100	0.00
31557188.110	0.00
31557188.120	0.00
31557188.130	0.00
31557188.140	0.00
31557188.150	0.00
31557188.160	0.00
31557188.170	0.00
31557188.180	0.00
31557188.190	0.00
31557188.200	0.00
31557188.210	0.00
31557188.220	0.00
31557188.230	0.00
31557188.240	0.00
31557188.250	0.00
31557188.260	0.00
31557188.270	0.00
31557188.280	0.00
31557188.290	0.00
31557188.300	0.00
31557188.310	0.00
31557188.320	0.00
31557188.330	0.00
31557188.340	0.00
31557188.350	0.00
31557188.360	0.00
31557188.370	0.00
31557188.380	0.00
31557188.390	0.00
31557188.400	0.00
31557188.410	0.00
31557188.420	0.00
31557188.430	0.00
31557188.440	0.00
31557188.450	0.00
31557188.460	0.00
31557188.470	0.00
31557188.480	0.00
31557188.490	0.00
31557188.500	0.00
31557188.510	0.00
31557188.520	0.00
31557188.530	0.00
31557188.540	0.00
31557188.550	0.00
31557188.560	0.00
31557188.570	0.00
31557188.580	0.00
31557188.590	0.00
31557188.600	0.00
31557188.610	0.00
31557188.620	0.00
31557188.630	0.00
31557188.640	0.00
31557188.650	0.00
31557188.660	0.00
31557188.670	0.00
31557188.680	0.00
31557188.690	0.00
31557188.700	0.00
31557188.710	0.00
31557188.720	0.00
31557188.730	0.00
31557188.740	0.00
31557188.750	0.00
31557188.760	0.00
31557188.770	0.00
31557188.780	0.00
31557188.790	0.00
31557188.800	0.00
31557188.810	0.00
31557188.820	0.00
31557188.830	0.00
31557188.840	0.00
31557188.850	0.00
31557188.860	0.00
31557188.870	0.00
31557188.880	0.00
31557188.890	0.00
31557188.900	0.00
31557188.910	0.00
31557188.920	0.00
31557188.930	0.00
31557188.940	0.00
31557188.950	0.00
31557188.960	0.00
31557188.970	0.00
31557188.980	0.00
31557188.990	0.00
31557189.000	0.00
31557189.010	0.00
31557189.020	0.00
31557189.030	0.00
31557189.040	0.00
31557189.050	0.00
31557189.060	0.00
31557189.070	0.00
31557189.080	0.00
31557189.090	0.00
31557189.100	0.00
31557189.110	0.00
31557189.120	0.00
31557189.130	0.00
31557189.140	0.00
31557189.150	0.00
31557189.160	0.00
31557189.170	0.00
31557189.180	0.00
31557189.190	0.00
31557189.200	0.00
31557189.210	0.00
31557189.220	0.00
31557189.230	0.00
31557189.240	0.00
31557189.250	0.00
31557189.260	0.00
31557189.270	0.00
31557189.280	0.00
31557189.290	0.00
31557189.300	0.00
31557189.310	0.00
31557189.320	0.00
31557189.330	0.00
31557189.340	0.00
31557189.350	0.00
31557189.360	0.00
31557189.370	0.00
31557189.380	0.00
31557189.390	0.00
31557189.400	0.00
31557189.410	0.00
31557189.420	0.00
31557189.430	0.00
31557189.440	0.00
31557189.450	0.00
31557189.460	0.00
31557189.470	0.00
31557189.480	0.00
31557189.490	0.00
31557189.500	0.00
31557189.510	0.00
31557189.520	0.00
31557189.530	0.00
31557189.540	0.00
31557189.550	0.00
31557189.560	0.00
31557189.570	0.00
31557189.580	0.00
31557189.590	0.00
31557189.600	0.00
31557189.610	0.00
31557189.620	0.00
31557189.630	0.00
31557189.640	0.00
31557189.650	0.00
31557189.660	0.00
31557189.670	0.00
31557189.680	0.00
31557189.690	0.00
31557189.700	0.00
31557189.710	0.00
31557189.720	0.00
31557189.730	0.00
31557189.740	0.00
31557189.750	0.00
31557189.760	0.00
31557189.770	0.00
31557189.780	0.00
31557189.790	0.00
31557189.800	0.00
31557189.810	0.00
31557189.820	0.00
31557189.830	0.00
31557189.840	0.00
31557189.850	0.00
31557189.860	0.00
31557189.870	0.00
31557189.880	0.00
31557189.890	0.00
31557189.900	0.00
31557189.910	0.00
31557189.920	0.00
31557189.930	0.00
31557189.940	0.00
31557189.950	0.00
31557189.960	0.00
31557189.970	0.00
31557189.980	0.00
31557189.990	0.00
31557190.000	0.00
31557190.010	0.00
31557190.020	0.00
31557190.030	0.00
31557190.040	0.00
31557190.050	0.00
31557190.060	0.00
31557190.070	0.00
31557190.080	0.00
31557190.090	0.00
31557190.100	0.00
31557190.110	0.00
31557190.120	0.00
31557190.130	0.00
31557190.140	0.00
31557190.150	0.00
31557190.160	0.00
31557190.170	0.00
31557190.180	0.00
31557190.190	0.00
31557190.200	0.00
31557190.210	0.00
31557190.220	0.00
31557190.230	0.00
31557190.240	0.00
31557190.250	0.00
31557190.260	0.00
31557190.270	0.00
31557190.280	0.00
31557190.290	0.00
31557190.300	0.00
31557190.310	0.00
31557190.320	0.00
31557190.330	0.00
31557190.340	0.00
31557190.350	0.00
31557190.360	0.00
31557190.370	0.00
31557190.380	0.00
31557190.390	0.00
31557190.400	0.00
31557190.410	0.00
31557190.420	0.00
31557190.430	0.00
31557190.440	0.00
31557190.450	0.00
31557190.460	0.00
31557190.470	0.00
31557190.480	0.00
31557190.490	0.00
31557190.500	0.00
31557190.510	0.00
31557190.520	0.00
31557190.530	0.00
31557190.540	0.00
31557190.550	0.00
31557190.560	0.00
31557190.570	0.00
31557190.580	0.00
31557190.590	0.00
31557190.600	0.00
31557190.610	0.00
31557190.620	0.00
31557190.630	0.00
31557190.640	0.00
31557190.650	0.00
31557190.660	0.00
31557190.670	0.00
31557190.680	0.00
31557190.690	0.00
31557190.700	0.00
31557190.710	0.00
31557190.720	0.00
31557190.730	0.00
31557190.740	0.00
31557190.750	0.00
31557190.760	0.00
31557190.770	0.00
31557190.780	0.00
31557190.790	0.00
31557190.800	0.00
31557190.810	0.00
31557190.820	0.00
31557190.830	0.00
31557190.840	0.00
31557190.850	0.00
31557190.860	0.00
31557190.870	0.00
31557190.880	0.00
31557190.890	0.00
31557190.900	0.00
31557190.910	0.00
31557190.920	0.00
31557190.930	0.00
31557190.940	0.00
31557190.950	0.00
31557190.960	0.00
31557190.970	0.00
31557190.980	0.00
31557190.990	0.00
31557191.000	0.00
31557191.010	0.00
31557191.020	0.00
31557191.030	0.00
31557191.040	0.00
31557191.050	0.00
31557191.060	0.00
31557191.070	0.00
31557191.080	0.00
31557191.090	0.00
31557191.100	0.00
31557191.110	0.00
31557191.120	0.00
31557191.130	0.00
31557191.140	0.00
31557191.150	0.00
31557191.160	0.00
31557191.170	0.00
31557191.180	0.00
31557191.190	0.00
31557191.200	0.00
31557191.210	0.00
31557191.220	0.00
31557191.230	0.00
31557191.240	0.00
31557191.250	0.00
31557191.260	0.00
31557191.270	0.00
31557191.280	0.00
31557191.290	0.00
31557191.300	0.00
31557191.310	0.00
31557191.320	0.00
31557191.330	0.00
31557191.340	0.00
31557191.350	0.00
31557191.360	0.00
31557191.370	0.00
31557191.380	0.00
31557191.390	0.00
31557191.400	0.00
31557191.410	0.00
31557191.420	0.00
31557191.430	0.00
31557191.440	0.00
31557191.450	0.00
31557191.460	0.00
31557191.470	0.00
31557191.480	0.00
31557191.490	0.00
31557191.500	0.00
31557191.510	0.00
31557191.520	0.00
31557191.530	0.00
31557191.540	0.00
31557191.550	0.00
31557191.560	0.00
31557191.570	0.00
31557191.580	0.00
31557191.590	0.00
31557191.600	0.00
31557191.610	0.00
31557191.620	0.00
31557191.630	0.00
31557191.640	0.00
31557191.650	0.00
31557191.660	0.00
31557191.670	0.00
31557191.680	0.00
31557191.690	0.00
31557191.700	0.00
31557191.710	0.00
31557191.720	0.00
31557191.730	0.00
31557191.740	0.00
31557191.750	0.00
31557191.760	0.00
31557191.770	0.00
31557191.780	0.00
31557191.790	0.00
31557191.800	0.00
31557191.810	0.00
31557191.820	0.00
31557191.830	0.00
31557191.840	0.00
31557191.850	0.00
31557191.860	0.00
31557191.870	0.00
31557191.880	0.00
31557191.890	0.00
31557191.900	0.00
31557191.910	0.00
31557191.920	0.00
31557191.930	0.00
31557191.940	0.00
31557191.950	0.00
31557191.960	0.00
31557191.970	0.00
31557191.980	0.00
31557191.990	0.00
31557192.000	0.00
31557192.010	0.00
31557192.020	0.00
31557192.030	0.00
31557192.040	0.00
31557192.050	0.00
31557192.060	0.00
31557192.070	0.00
31557192.080	0.00
31557192.090	0.00
31557192.100	0.00
31557192.110	0.00
31557192.120	0.00
31557192.130	0.00
31557192.140	0.00
31557192.150	0.00
31557192.160	0.00
31557192.170	0.00
31557192.180	0.00
31557192.190	0.00
31557192.200	0.00
31557192.210	0.00
31557192.220	0.00
31557192.230	0.00
31557192.240	0.00
31557192.250	0.00
31557192.260	0.00
31557192.270	0.00
31557192.280	0.00
31557192.290	0.00
31557192.300	0.00
31557192.310	0.00
31557192.320	0.00
31557192.330	0.00
31557192.340	0.00
31557192.350	0.00
31557192.360	0.00
31557192.370	0.00
31557192.380	0.00
31557192.390	0.00
31557192.400	0.00
31557192.410	0.00
31557192.420	0.00
31557192.430	0.00
31557192.440	0.00
31557192.450	0.00
31557192.460	0.00
31557192.470	0.00
31557192.480	0.00
31557192.490	0.00
31557192.500	0.00
31557192.510	0.00
31557192.520	0.00
31557192.530	0.00
31557192.540	0.00
31557192.550	0.00
31557192.560	0.00
31557192.570	0.00
31557192.580	0.00
31557192.590	0.00
31557192.600	0.00
31557192.610	0.00
31557192.620	0.00
31557192.630	0.00
31557192.640	0.00
31557192.650	0.00
31557192.660	0.00
31557192.670	0.00
31557192.680	0.00
31557192.690	0.00
31557192.700	0.00
31557192.710	0.00
31557192.720	0.00
31557192.730	0.00
31557192.740	0.00
31557192.750	0.00
31557192.760	0.00
31557192.770	0.00
31557192.780	0.00
31557192.790	0.00
31557192.800	0.00
31557192.810	0.00
31557192.820	0.00
31557192.830	0.00
31557192.840	0.00
31557192.850	0.00
31557192.860	0.00
31557192.870	0.00
31557192.880	0.00
31557192.890	0.00
31557192.900	0.00
31557192.910	0.00
31557192.920	0.00
31557192.930	0.00
31557192.940	0.00
31557192.950	0.00
31557192.960	0.00
31557192.970	0.00
31557192.980	0.00
31557192.990	0.00
31557193.000	0.00
31557193.010	0.00
31557193.020	0.00
31557193.030	0.00
31557193.040	0.00
31557193.050	0.00
31557193.060	0.00
31557193.070	0.00
31557193.080	0.00
31557193.090	0.00
31557193.100	0.00
31557193.110	0.00
