#1					
float	DNI_THTFin_vdot(1775,6)				
7121322.430	1.0	300.77	0.000000000	0.00	299.72
7121332.430	1.0	300.75	0.000000000	0.00	299.71
7121342.381	1.0	300.73	0.000000000	0.00	299.68
7121352.431	1.0	300.70	0.000000000	0.00	299.68
7121362.432	1.0	300.70	0.000000000	0.00	299.66
7121372.382	1.0	300.67	0.000000000	0.00	299.65
7121382.433	1.0	300.66	0.000000000	0.00	299.63
7121392.433	1.1	300.65	0.000000000	0.00	299.63
7121402.383	1.0	300.63	0.000000000	0.00	299.60
7121412.434	1.0	300.61	0.000000000	0.00	299.60
7121422.434	1.0	300.61	0.000000000	0.00	299.58
7121432.435	1.0	300.59	0.000000000	0.00	299.58
7121442.435	1.0	300.57	0.000000000	0.00	299.56
7121452.436	1.0	300.56	0.000000000	0.00	299.54
7121462.436	1.0	300.54	0.000000000	0.00	299.54
7121472.436	1.0	300.55	0.000000000	0.00	299.51
7121482.437	1.0	300.53	0.000000000	0.00	299.51
7121492.437	1.0	300.52	0.000000000	0.00	299.49
7121502.388	1.0	300.53	0.000000000	0.00	299.48
7121512.388	1.0	300.52	0.000000000	0.00	299.47
7121522.439	0.9	300.50	0.000000000	0.00	299.45
7121532.389	1.0	300.48	0.000000000	0.00	299.43
7121542.439	1.0	300.47	0.000000000	0.00	299.43
7121552.440	1.0	300.45	0.000000000	0.00	299.42
7121562.440	1.0	300.45	0.000000000	0.00	299.40
7121572.441	1.0	300.42	0.000000000	0.00	299.39
7121582.441	1.0	300.42	0.000000000	0.00	299.38
7121592.441	1.0	300.41	0.000000000	0.00	299.37
7121602.392	1.0	300.41	0.000000000	0.00	299.36
7121612.442	1.0	300.40	0.000000000	0.00	299.36
7121622.443	1.0	300.41	0.000000000	0.00	299.35
7121632.393	1.0	300.40	0.000000000	0.00	299.34
7121642.394	1.0	300.39	0.000000000	0.00	299.32
7121652.444	1.0	300.44	0.000000000	0.00	299.31
7121662.444	1.0	300.45	0.000000000	0.00	299.29
7121672.445	1.0	300.47	0.000000000	0.00	299.28
7121682.445	1.0	300.48	0.000000000	0.00	299.28
7121692.396	1.0	300.48	0.000000000	0.00	299.26
7121702.396	1.0	300.48	0.000000000	0.00	299.25
7121712.397	1.0	300.48	0.000000000	0.00	299.25
7121722.447	1.0	300.49	0.000000000	0.00	299.23
7121732.447	1.0	300.50	0.000000000	0.00	299.23
7121742.448	1.0	300.49	0.000000000	0.00	299.22
7121752.398	1.0	300.50	0.000000000	0.00	299.21
7121762.449	1.0	300.50	0.000000000	0.00	299.20
7121772.399	0.9	300.53	0.000000000	0.00	299.19
7121782.450	1.0	300.54	0.000000000	0.00	299.17
7121792.400	0.9	300.56	0.000000000	0.00	299.16
7121802.450	1.0	300.58	0.000000000	0.00	299.15
7121812.451	1.0	300.62	0.000000000	0.00	299.15
7121822.401	0.9	300.61	0.000000000	0.00	299.14
7121832.452	1.0	300.64	0.000000000	0.00	299.13
7121842.402	0.9	300.65	0.000000000	0.00	299.12
7121852.453	1.0	300.65	0.000000000	0.00	299.11
7121862.453	0.9	300.69	0.000000000	0.00	299.09
7121872.403	1.0	300.71	0.000000000	0.00	299.09
7121882.404	1.0	300.72	0.000000000	0.00	299.08
7121892.404	1.0	300.70	0.000000000	0.00	299.08
7121902.405	1.0	300.72	0.000000000	0.00	299.07
7121912.405	1.0	300.73	0.000000000	0.00	299.05
7121922.456	1.0	300.71	0.000000000	0.00	299.05
7121932.456	1.0	300.71	0.000000000	0.00	299.03
7121942.406	1.0	300.72	0.000000000	0.00	299.03
7121952.457	1.0	300.71	0.000000000	0.00	299.02
7121962.407	1.0	300.72	0.000000000	0.00	299.01
7121972.458	0.9	300.72	0.000000000	0.00	299.00
7121982.408	0.9	300.72	0.000000000	0.00	298.98
7121992.459	1.0	300.73	0.000000000	0.00	298.98
