#1	
float	DNI(1780,2)
7138823.025	675
7138833.025	674.7
7138843.026	674.9
7138852.976	675.7
7138862.977	676.9
7138873.027	676.3
7138882.977	675.6
7138893.028	676.7
7138902.978	676.9
7138913.029	675.1
7138922.979	676.1
7138933.03	676.3
7138943.03	674.7
7138952.98	674.4
7138963.031	673.3
7138973.031	673.5
7138983.032	673.9
7138993.032	673.4
7139003.033	673.6
7139013.033	673.5
7139023.033	672.5
7139032.984	671.7
7139043.034	671.8
7139052.985	670.9
7139063.035	669.7
7139072.986	670.9
7139083.036	670.6
7139092.986	670.1
7139102.987	670.3
7139112.987	668.6
7139122.988	669.6
7139133.038	670.1
7139142.989	670.2
7139153.039	669.2
7139163.039	668.9
7139172.99	669.5
7139182.99	669.2
7139193.041	669.6
7139203.041	670
7139212.992	669.6
7139222.992	669.7
7139233.042	669
7139242.993	669
7139253.043	670
7139263.044	669.4
7139273.044	670
7139283.045	670.3
7139292.995	672.1
7139303.045	672.6
7139312.996	674.6
7139323.046	673.5
7139332.997	674.2
7139342.997	674.9
7139352.998	675.4
7139363.048	675.3
7139372.998	676.1
7139383.049	676.4
7139393.049	677.6
7139403	678.3
7139413	677.5
7139423.001	676.4
7139433.051	677
7139443.001	675.9
7139453.052	675.9
7139463.002	676.7
7139473.003	676.2
7139483.003	676.5
7139493.054	676.2
7139503.004	677.1
7139513.004	677.1
7139523.055	676.9
7139533.055	678
7139543.006	677.7
7139553.056	678.5
7139563.007	680.4
7139573.057	680.6
7139583.007	682.1
7139593.008	682.3
7139603.008	682.6
7139613.059	682.7
7139623.009	682.9
7139633.06	682.6
7139643.06	682.4
7139653.06	682.6
7139663.061	681.2
7139673.011	680.8
7139683.062	680
7139693.012	681.1
7139703.013	680.6
7139713.063	681.6
7139723.063	681.4
7139733.014	680.2
7139743.014	681
7139753.015	679.9
7139763.065	679.2
7139773.066	678.8
7139783.016	678.6
7139793.066	678.4
7139803.017	677.6
7139813.067	677.5
7139823.068	676.3
7139833.018	677
7139843.019	676.2
7139853.069	675.5
7139863.019	674.5
7139873.02	673.6
7139883.02	674.1
7139893.071	672.9
7139903.021	673
7139913.072	673.1
7139923.072	673.5
7139933.022	673.3
7139943.023	671.8
7139953.073	670.4
7139963.024	671.2
7139973.024	671.8
7139983.025	672.4
7139993.025	671.4
7140003.025	670.2
7140013.076	669.9
7140023.026	670.3
7140033.027	669.4
7140043.027	668.2
7140053.028	670.1
7140063.078	669.9
7140073.028	670.6
7140083.079	670.9
7140093.079	672.6
7140103.08	674.1
7140113.03	673.9
7140123.081	673.6
7140133.031	674.1
7140143.081	672.9
7140153.082	673.2
7140163.032	673
7140173.083	672.9
7140183.033	671.9
7140193.084	672.4
7140203.084	673.1
7140213.084	672.6
7140223.085	673.4
7140233.035	673
7140243.036	673.4
7140253.086	672.7
7140263.087	671.5
7140273.037	671.6
7140283.087	670.9
7140293.088	671.3
7140303.088	671
7140313.089	670.6
7140323.039	671
7140333.04	670.6
7140343.04	671
7140353.04	670
7140363.091	671
7140373.041	670.5
7140383.042	669.5
7140393.042	669.6
7140403.043	670.7
7140413.043	670.2
7140423.093	670.6
7140433.094	669.9
7140443.044	670.6
7140453.095	671.1
7140463.045	670.5
7140473.096	669.7
7140483.046	670
7140493.046	670
7140503.097	670.1
7140513.047	670.2
7140523.048	670.1
7140533.048	670.1
7140543.049	669.4
7140553.049	669.4
7140563.049	669.8
7140573.05	670.7
7140583.1	670.6
7140593.101	670.8
7140603.051	671.8
7140613.102	672.4
7140623.102	672.6
7140633.102	673.2
7140643.103	672.8
7140653.053	673.5
7140663.054	673.1
7140673.054	672.7
7140683.105	672.9
7140693.105	673.8
7140703.105	674.8
7140713.106	675.2
7140723.056	675
7140733.057	674.6
7140743.107	675.3
7140753.108	676
7140763.108	675.2
7140773.108	675.7
7140783.109	674.8
7140793.109	675.7
7140803.11	675
7140813.06	676.1
7140823.061	675.4
7140833.111	675.2
7140843.061	675
7140853.112	673.6
7140863.062	673.5
7140873.113	672.7
7140883.113	671.8
7140893.064	671.3
7140903.064	671.2
7140913.114	671.1
7140923.065	669.4
7140933.065	669.6
7140943.116	668.8
7140953.066	668.4
7140963.067	667.3
7140973.067	668.1
7140983.117	668.3
7140993.118	666.5
7141003.068	667.1
7141013.119	666
7141023.119	664.5
7141033.12	664.8
7141043.12	655.2
7141053.07	624.8
7141063.121	590.4
7141073.121	549.3
7141083.122	502.7
7141093.072	453.5
7141103.122	399.7
7141113.073	346.2
7141123.123	291.6
7141133.124	225.1
7141143.074	175.1
7141153.075	127
7141163.125	84.7
7141173.075	48.7
7141183.076	20.1
7141193.126	4.3
7141203.127	2.5
7141213.127	2.3
7141223.078	2.3
7141233.128	2.2
7141243.128	2.1
7141253.129	2.1
7141263.129	1.7
7141273.13	1.5
7141283.13	1.5
7141293.131	1.5
7141303.131	1.4
7141313.081	1.4
7141323.082	1.4
7141333.132	1.4
7141343.083	1.3
7141353.133	1.3
7141363.134	1.3
7141373.134	1.4
7141383.084	1.3
7141393.135	1.3
7141403.135	1.3
7141413.136	1.3
7141423.136	1.3
7141433.087	1.3
7141443.137	1.3
7141453.087	1.3
7141463.138	1.2
7141473.138	1.3
7141483.089	1.3
7141493.089	1.3
7141503.14	1.3
7141513.14	1.2
7141523.14	1.2
7141533.141	1.3
7141543.141	1.2
7141553.142	1.2
7141563.142	1.2
7141573.143	1.2
31557185.89	0
