#1	
float	DNI(1780,2)
7127572.493	0.9
7127582.544	1
7127592.544	1
7127602.545	1
7127612.495	1
7127622.546	1
7127632.546	1
7127642.496	1
7127652.497	1
7127662.497	0.9
7127672.548	0.9
7127682.548	1
7127692.549	1
7127702.549	1
7127712.549	1
7127722.5	1
7127732.5	0.9
7127742.501	1
7127752.501	0.9
7127762.502	1
7127772.552	1
7127782.552	0.9
7127792.503	1
7127802.553	1
7127812.504	0.9
7127822.554	1
7127832.505	0.9
7127842.505	1
7127852.555	1
7127862.556	1
7127872.506	1
7127882.507	0.9
7127892.557	1
7127902.557	1
7127912.558	1
7127922.558	0.9
7127932.509	0.9
7127942.559	1
7127952.56	1
7127962.56	1
7127972.56	1
7127982.561	1
7127992.511	0.9
7128002.512	0.9
7128012.512	1
7128022.563	0.9
7128032.563	0.9
7128042.513	1
7128052.514	1
7128062.514	1
7128072.565	1
7128082.565	1
7128092.516	1
7128102.516	0.9
7128112.566	1
7128122.567	1
7128132.567	1
7128142.568	1
7128152.518	0.9
7128162.519	1
7128172.569	0.9
7128182.569	0.9
7128192.57	1
7128202.52	1
7128212.571	1
7128222.571	1
7128232.522	1
7128242.522	1
7128252.572	1
7128262.523	1
7128272.573	0.9
7128282.574	1
7128292.574	1
7128302.575	1
7128312.525	1
7128322.575	0.9
7128332.526	1
7128342.526	0.9
7128352.577	1
7128362.527	0.9
7128372.528	0.9
7128382.528	1
7128392.578	1
7128402.579	1
7128412.579	0.9
7128422.58	0.9
7128432.58	0.9
7128442.581	1
7128452.581	1
7128462.531	0.9
7128472.582	1
7128482.582	1
7128492.533	0.9
7128502.583	1
7128512.534	0.9
7128522.584	0.9
7128532.534	0.9
7128542.535	0.9
7128552.585	1
7128562.536	1
7128572.586	1
7128582.537	1
7128592.537	0.9
7128602.587	0.9
7128612.538	0.9
7128622.588	1
7128632.589	1
7128642.589	0.9
7128652.59	1
7128662.54	1
7128672.59	1
7128682.591	1
7128692.591	1
7128702.592	1
7128712.592	0.9
7128722.593	1
7128732.543	0.9
7128742.593	0.9
7128752.594	1
7128762.594	0.9
7128772.595	0.9
7128782.595	1
7128792.596	1
7128802.546	1
7128812.546	0.9
7128822.597	1
7128832.597	1
7128842.598	1
7128852.598	0.9
7128862.599	0.9
7128872.549	0.9
7128882.599	0.9
7128892.6	1
7128902.6	1
7128912.601	1
7128922.551	1
7128932.602	1
7128942.552	1
7128952.602	1
7128962.603	0.9
7128972.553	1
7128982.604	1
7128992.554	1
7129002.605	1
7129012.555	1
7129022.605	1
7129032.606	0.9
7129042.556	0.9
7129052.557	1
7129062.607	1
7129072.558	0.9
7129082.558	1
7129092.608	1
7129102.609	1
7129112.559	0.9
7129122.61	1
7129132.61	1
7129142.611	1
7129152.561	1
7129162.611	1
7129172.612	1
7129182.612	1
7129192.613	1
7129202.613	1
7129212.614	1
7129222.614	1
7129232.614	1
7129242.615	1
7129252.615	1
7129262.566	1
7129272.616	0.9
7129282.617	0.9
7129292.617	1
7129302.617	1
7129312.618	1
7129322.618	1
7129332.619	1
7129342.619	1
7129352.57	1
7129362.62	1
7129372.62	1
7129382.621	1
7129392.621	1
7129402.622	1
7129412.622	1
7129422.623	1
7129432.623	1
7129442.623	1
7129452.574	0.9
7129462.574	1
7129472.625	1
7129482.625	1
7129492.626	1
7129502.626	1
7129512.626	1
7129522.627	1
7129532.627	1
7129542.628	1
7129552.628	1
7129562.629	1
7129572.579	1
7129582.579	1
7129592.58	1
7129602.63	1.1
7129612.631	1
7129622.631	1
7129632.582	1
7129642.582	1
7129652.582	1
7129662.633	1
7129672.583	1
7129682.584	1
7129692.634	1
7129702.635	1
7129712.585	1
7129722.585	1
7129732.636	1
7129742.636	1
7129752.637	1
7129762.637	1
7129772.638	1
7129782.638	1.1
7129792.638	1
7129802.639	1
7129812.589	1
7129822.64	1
7129832.64	1
7129842.641	1
7129852.641	1.1
7129862.591	1
7129872.642	1
7129882.592	1
7129892.643	1
7129902.643	1
7129912.644	1
7129922.594	1
7129932.594	1
7129942.595	1
7129952.595	1
7129962.596	1
7129972.646	1
7129982.647	1
7129992.597	1
7130002.597	1
7130012.648	1
7130022.648	1
7130032.599	1
7130042.649	1
7130052.6	1
7130062.6	1
7130072.65	1
7130082.651	1.1
7130092.651	1
7130102.652	1
7130112.652	1.1
7130122.603	1
7130132.653	1
7130142.653	1.1
7130152.654	1
7130162.654	1.1
7130172.605	1
7130182.655	1
7130192.606	1.1
7130202.606	1
7130212.606	1.1
7130222.657	1
7130232.657	1
7130242.658	1
7130252.658	1
7130262.659	1
7130272.659	1
7130282.609	1.1
7130292.61	1
7130302.66	1
7130312.661	1
7130322.611	1.1
7130332.662	1.1
7130342.662	1.1
7130352.662	1.1
7130362.613	1.1
7130372.663	1.1
7130382.614	1
7130392.614	1
7130402.615	1
7130412.665	1
7130422.665	1.1
7130432.666	1.1
7130442.666	1
7130452.617	1
7130462.617	1
7130472.618	1.1
7130482.668	1
7130492.668	1
7130502.669	1.1
7130512.619	1
7130522.67	1.1
7130532.67	1
7130542.67	1.1
7130552.671	1
7130562.621	1.1
7130572.672	1
7130582.622	1.1
7130592.673	1.1
7130602.673	1.1
7130612.673	1.1
7130622.624	1
7130632.674	1.1
7130642.625	1.1
7130652.625	1.1
7130662.676	1.1
7130672.676	1.1
7130682.676	1.1
7130692.677	1.1
7130702.627	1.1
7130712.678	1.1
7130722.678	1.1
7130732.629	1.1
7130742.679	1.1
7130752.629	1
7130762.68	1.1
7130772.63	1.1
7130782.681	1.1
7130792.631	1.1
7130802.632	1.1
7130812.682	1
7130822.632	1
7130832.633	1.1
7130842.683	1.1
7130852.634	1
7130862.684	1.1
7130872.635	1.1
7130882.685	1.1
7130892.635	1.1
7130902.636	1.1
7130912.636	1.1
7130922.637	1
7130932.637	1.1
7130942.688	1.1
7130952.638	1.1
7130962.638	1.1
7130972.689	1
7130982.639	1.1
7130992.64	1.1
7131002.69	1
7131012.691	1.1
7131022.641	1.1
7131032.691	1.1
7131042.642	1.1
7131052.692	1.1
7131062.643	1.1
7131072.643	1
7131082.694	1.1
7131092.644	1.1
7131102.694	1.1
7131112.695	1.1
7131122.645	1.1
7131132.696	1.1
7131142.696	1.1
7131152.647	1.1
7131162.697	1.1
7131172.697	1.1
7131182.698	1.1
7131192.698	1.1
7131202.649	1.1
7131212.699	1.1
7131222.7	1.1
7131232.65	1.1
7131242.65	1
7131252.651	1.1
7131262.651	1.1
7131272.652	1.1
7131282.652	1.1
7131292.703	1.1
7131302.703	1.1
7131312.703	1.1
7131322.704	1.1
7131332.654	1.1
7131342.655	1.1
7131352.655	1.1
7131362.706	1.1
7131372.656	1.1
7131382.656	1.1
7131392.707	1.1
7131402.707	1.1
7131412.658	1.1
7131422.658	1.1
7131432.659	1.1
7131442.709	1.1
7131452.709	1.1
7131462.71	1.1
7131472.66	1.1
7131482.711	1.1
7131492.711	1.1
7131502.712	1.1
7131512.712	1.1
7131522.712	1.1
7131532.663	1.1
7131542.663	1.1
7131552.714	1.1
7131562.664	1.1
7131572.665	1.1
7131582.715	1.1
7131592.665	1.1
7131602.716	1.1
7131612.716	1.1
7131622.667	1.1
7131632.667	1.1
7131642.668	1.1
7131652.718	1.1
7131662.668	1.1
7131672.719	1.1
7131682.719	1.1
7131692.67	1.1
7131702.67	1.1
7131712.671	1.1
7131722.721	1.1
7131732.721	1.1
7131742.722	1.2
7131752.722	1.1
7131762.723	1.1
