#1	
float	Tpump(1780,2)
7137722.978	340.52
7137732.928	340.52
7137742.979	340.53
7137752.929	340.53
7137762.93	340.51
7137772.98	340.52
7137782.98	340.5
7137792.931	340.49
7137802.931	340.5
7137812.932	340.48
7137822.932	340.47
7137832.983	340.46
7137842.983	340.47
7137852.983	340.45
7137862.934	340.44
7137872.984	340.43
7137882.935	340.42
7137892.935	340.41
7137902.936	340.4
7137912.986	340.4
7137922.986	340.39
7137932.987	340.39
7137942.937	340.4
7137952.938	340.39
7137962.988	340.38
7137972.939	340.39
7137982.989	340.39
7137992.989	340.38
7138002.99	340.41
7138012.94	340.41
7138022.941	340.45
7138032.941	340.47
7138042.942	340.5
7138052.992	340.54
7138062.942	340.56
7138072.993	340.59
7138082.943	340.63
7138092.994	340.65
7138102.944	340.66
7138112.945	340.67
7138122.945	340.67
7138132.945	340.7
7138142.996	340.68
7138152.946	340.69
7138162.947	340.7
7138172.947	340.69
7138182.948	340.68
7138192.948	340.67
7138202.998	340.67
7138212.999	340.66
7138222.949	340.64
7138232.95	340.64
7138243	340.64
7138252.951	340.63
7138262.951	340.6
7138273.001	340.6
7138282.952	340.59
7138292.952	340.57
7138302.953	340.57
7138312.953	340.57
7138322.954	340.56
7138333.004	340.55
7138343.004	340.53
7138352.955	340.53
7138363.005	340.52
7138372.956	340.51
7138382.956	340.5
7138392.957	340.48
7138402.957	340.48
7138412.957	340.47
7138422.958	340.48
7138432.958	340.51
7138442.959	340.54
7138452.959	340.58
7138462.96	340.6
7138472.96	340.64
7138482.96	340.66
7138492.961	340.71
7138502.961	340.74
7138513.012	340.79
7138522.962	340.84
7138533.012	340.87
7138543.013	340.9
7138552.963	340.93
7138563.014	340.95
7138572.964	340.96
7138582.965	340.97
7138592.965	340.98
7138603.015	340.98
7138613.016	340.99
7138623.016	340.99
7138632.967	340.98
7138642.967	340.98
7138652.968	340.97
7138663.018	340.96
7138673.018	340.96
7138683.019	340.97
7138693.019	340.97
7138702.97	340.97
7138712.97	340.96
7138723.021	340.97
7138732.971	340.96
7138743.021	340.94
7138753.022	340.94
7138762.972	340.91
7138773.023	340.91
7138782.973	340.91
7138792.974	340.9
7138802.974	340.89
7138812.974	340.88
7138823.025	340.86
7138833.025	340.87
7138843.026	340.85
7138852.976	340.84
7138862.977	340.84
7138873.027	340.83
7138882.977	340.83
7138893.028	340.8
7138902.978	340.83
7138913.029	340.84
7138922.979	340.86
7138933.03	340.89
7138943.03	340.92
7138952.98	340.95
7138963.031	340.98
7138973.031	341.02
7138983.032	341.06
7138993.032	341.1
7139003.033	341.16
7139013.033	341.19
7139023.033	341.21
7139032.984	341.25
7139043.034	341.26
7139052.985	341.26
7139063.035	341.26
7139072.986	341.25
7139083.036	341.25
7139092.986	341.24
7139102.987	341.24
7139112.987	341.22
7139122.988	341.21
7139133.038	341.2
7139142.989	341.18
7139153.039	341.18
7139163.039	341.17
7139172.99	341.15
7139182.99	341.14
7139193.041	341.12
7139203.041	341.11
7139212.992	341.1
7139222.992	341.09
7139233.042	341.08
7139242.993	341.05
7139253.043	341.05
7139263.044	341.03
7139273.044	341.01
7139283.045	341.01
7139292.995	340.99
7139303.045	340.97
7139312.996	340.95
7139323.046	340.93
7139332.997	340.93
7139342.997	340.91
7139352.998	340.9
7139363.048	340.9
7139372.998	340.89
7139383.049	340.87
7139393.049	340.87
7139403	340.85
7139413	340.84
7139423.001	340.84
7139433.051	340.83
7139443.001	340.84
7139453.052	340.85
7139463.002	340.87
7139473.003	340.89
7139483.003	340.92
7139493.054	340.93
7139503.004	340.97
7139513.004	341
7139523.055	341.04
7139533.055	341.08
7139543.006	341.12
7139553.056	341.14
7139563.007	341.17
7139573.057	341.19
7139583.007	341.21
7139593.008	341.23
7139603.008	341.22
7139613.059	341.23
7139623.009	341.22
7139633.06	341.23
7139643.06	341.25
7139653.06	341.22
7139663.061	341.22
7139673.011	341.21
7139683.062	341.21
7139693.012	341.2
7139703.013	341.2
7139713.063	341.2
7139723.063	341.19
7139733.014	341.18
7139743.014	341.17
7139753.015	341.17
7139763.065	341.17
7139773.066	341.15
7139783.016	341.14
7139793.066	341.12
7139803.017	341.12
7139813.067	341.11
7139823.068	341.1
7139833.018	341.1
7139843.019	341.08
7139853.069	341.09
7139863.019	341.08
7139873.02	341.07
7139883.02	341.05
7139893.071	341.05
7139903.021	341.04
7139913.072	341.04
7139923.072	341.03
7139933.022	341.02
7139943.023	341.01
7139953.073	341
7139963.024	340.99
7139973.024	341
7139983.025	340.98
7139993.025	340.98
7140003.025	340.97
7140013.076	340.98
7140023.026	340.96
7140033.027	340.97
7140043.027	340.96
7140053.028	340.98
7140063.078	340.99
7140073.028	341.02
7140083.079	341.04
7140093.079	341.07
7140103.08	341.09
7140113.03	341.14
7140123.081	341.17
7140133.031	341.22
7140143.081	341.24
7140153.082	341.27
7140163.032	341.29
7140173.083	341.3
7140183.033	341.3
7140193.084	341.31
7140203.084	341.31
7140213.084	341.31
7140223.085	341.3
7140233.035	341.31
7140243.036	341.31
7140253.086	341.3
7140263.087	341.31
7140273.037	341.3
7140283.087	341.29
7140293.088	341.28
7140303.088	341.29
7140313.089	341.27
7140323.039	341.27
7140333.04	341.24
7140343.04	341.24
7140353.04	341.23
7140363.091	341.22
7140373.041	341.21
7140383.042	341.21
7140393.042	341.19
7140403.043	341.19
7140413.043	341.19
7140423.093	341.18
7140433.094	341.17
7140443.044	341.17
7140453.095	341.16
7140463.045	341.15
7140473.096	341.14
7140483.046	341.13
7140493.046	341.13
7140503.097	341.11
7140513.047	341.11
7140523.048	341.07
7140533.048	341.08
7140543.049	341.06
7140553.049	341.06
7140563.049	341.02
7140573.05	341.02
7140583.1	341.02
7140593.101	341.01
7140603.051	341
7140613.102	341.01
7140623.102	341.02
7140633.102	341.03
7140643.103	341.06
7140653.053	341.08
7140663.054	341.12
7140673.054	341.15
7140683.105	341.18
7140693.105	341.21
7140703.105	341.23
7140713.106	341.25
7140723.056	341.27
7140733.057	341.26
7140743.107	341.28
7140753.108	341.29
7140763.108	341.28
7140773.108	341.27
7140783.109	341.27
7140793.109	341.27
7140803.11	341.27
7140813.06	341.26
7140823.061	341.25
7140833.111	341.25
7140843.061	341.25
7140853.112	341.25
7140863.062	341.23
7140873.113	341.24
7140883.113	341.22
7140893.064	341.23
7140903.064	341.22
7140913.114	341.2
7140923.065	341.2
7140933.065	341.18
7140943.116	341.17
7140953.066	341.19
7140963.067	341.17
7140973.067	341.17
7140983.117	341.17
7140993.118	341.16
7141003.068	341.15
7141013.119	341.13
7141023.119	341.12
7141033.12	341.12
7141043.12	341.12
7141053.07	341.1
7141063.121	341.09
7141073.121	341.08
7141083.122	341.07
7141093.072	341.07
7141103.122	341.05
7141113.073	341.03
7141123.123	341.04
7141133.124	341.02
7141143.074	341
7141153.075	341
7141163.125	340.98
7141173.075	341
7141183.076	341
7141193.126	341.04
7141203.127	341.07
7141213.127	341.1
7141223.078	341.13
7141233.128	341.13
7141243.128	341.17
7141253.129	341.19
7141263.129	341.22
7141273.13	341.24
7141283.13	341.24
7141293.131	341.24
7141303.131	341.25
7141313.081	341.25
7141323.082	341.25
7141333.132	341.24
7141343.083	341.22
7141353.133	341.22
7141363.134	340.98
7141373.134	340.51
7141383.084	340.24
7141393.135	339.99
7141403.135	339.68
7141413.136	339.37
7141423.136	338.96
7141433.087	338.6
7141443.137	338.24
7141453.087	337.9
7141463.138	337.58
7141473.138	337.22
7141483.089	336.76
7141493.089	336.4
7141503.14	336.01
7141513.14	335.62
7141523.14	335.21
7141533.141	334.7
7141543.141	334.31
7141553.142	333.91
7141563.142	333.53
7141573.143	333.17
31557185.89	0
