#1	
float	Tpump(1780,2)
7126982.468	300.03
7126992.519	300.01
7127002.519	299.99
7127012.519	299.96
7127022.52	299.95
7127032.52	299.92
7127042.521	299.91
7127052.471	299.9
7127062.472	299.87
7127072.472	299.87
7127082.522	299.85
7127092.473	299.85
7127102.523	299.82
7127112.524	299.81
7127122.524	299.8
7127132.475	299.78
7127142.475	299.78
7127152.525	299.75
7127162.476	299.74
7127172.476	299.74
7127182.527	299.73
7127192.477	299.73
7127202.478	299.73
7127212.478	299.7
7127222.478	299.69
7127232.529	299.7
7127242.529	299.71
7127252.48	299.69
7127262.48	299.69
7127272.531	299.66
7127282.531	299.65
7127292.481	299.66
7127302.482	299.65
7127312.482	299.64
7127322.533	298.09
7127332.483	298.31
7127342.484	298.31
7127352.534	298.38
7127362.484	298.54
7127372.535	298.68
7127382.535	298.78
7127392.486	298.86
7127402.486	299.26
7127412.537	300.35
7127422.487	301.17
7127432.537	300.56
7127442.538	300.46
7127452.538	300.34
7127462.539	300.24
7127472.489	300.17
7127482.54	300.09
7127492.49	300.03
7127502.54	300
7127512.491	299.95
7127522.491	299.92
7127532.542	299.9
7127542.542	299.88
7127552.543	299.88
7127562.543	299.86
7127572.493	299.85
7127582.544	299.83
7127592.544	299.83
7127602.545	299.82
7127612.495	299.83
7127622.546	299.8
7127632.546	299.8
7127642.496	299.79
7127652.497	299.78
7127662.497	299.77
7127672.548	299.78
7127682.548	299.76
7127692.549	299.76
7127702.549	299.75
7127712.549	299.74
7127722.5	299.73
7127732.5	299.74
7127742.501	299.71
7127752.501	299.72
7127762.502	299.71
7127772.552	299.69
7127782.552	299.69
7127792.503	299.68
7127802.553	299.65
7127812.504	299.65
7127822.554	299.64
7127832.505	299.64
7127842.505	299.62
7127852.555	299.63
7127862.556	299.61
7127872.506	299.61
7127882.507	299.59
7127892.557	299.58
7127902.557	299.58
7127912.558	299.56
7127922.558	299.55
7127932.509	299.54
7127942.559	299.55
7127952.56	299.51
7127962.56	299.49
7127972.56	299.49
7127982.561	299.48
7127992.511	299.47
7128002.512	299.45
7128012.512	299.44
7128022.563	299.43
7128032.563	299.41
7128042.513	299.42
7128052.514	299.42
7128062.514	299.4
7128072.565	299.39
7128082.565	299.38
7128092.516	299.37
7128102.516	299.35
7128112.566	299.34
7128122.567	299.34
7128132.567	299.33
7128142.568	299.32
7128152.518	299.31
7128162.519	299.29
7128172.569	299.29
7128182.569	299.27
7128192.57	299.28
7128202.52	299.26
7128212.571	299.25
7128222.571	299.23
7128232.522	299.22
7128242.522	299.2
7128252.572	299.19
7128262.523	299.17
7128272.573	299.16
7128282.574	299.15
7128292.574	299.13
7128302.575	299.11
7128312.525	299.1
7128322.575	299.09
7128332.526	299.08
7128342.526	299.08
7128352.577	299.06
7128362.527	299.07
7128372.528	299.06
7128382.528	299.04
7128392.578	299.03
7128402.579	299.02
7128412.579	298.99
7128422.58	298.98
7128432.58	298.99
7128442.581	298.96
7128452.581	298.94
7128462.531	298.92
7128472.582	298.92
7128482.582	298.91
7128492.533	298.89
7128502.583	298.86
7128512.534	298.86
7128522.584	298.84
7128532.534	298.82
7128542.535	298.81
7128552.585	298.78
7128562.536	298.78
7128572.586	298.76
7128582.537	298.74
7128592.537	298.73
7128602.587	298.72
7128612.538	298.7
7128622.588	298.7
7128632.589	298.68
7128642.589	298.67
7128652.59	298.64
7128662.54	298.64
7128672.59	298.64
7128682.591	298.62
7128692.591	298.61
7128702.592	298.61
7128712.592	298.6
7128722.593	298.59
