#1	
double	mdot(2501,2)
7126982.468	0.00
7126992.519	0.00
7127002.519	0.00
7127012.519	0.00
7127022.520	0.00
7127032.520	0.00
7127042.521	0.00
7127052.471	0.00
7127062.472	0.00
7127072.472	0.00
7127082.522	0.00
7127092.473	0.00
7127102.523	0.00
7127112.524	0.00
7127122.524	0.00
7127132.475	0.00
7127142.475	0.00
7127152.525	0.00
7127162.476	0.00
7127172.476	0.00
7127182.527	0.00
7127192.477	0.00
7127202.478	0.00
7127212.478	0.00
7127222.478	0.00
7127232.529	0.00
7127242.529	0.00
7127252.480	0.00
7127262.480	0.00
7127272.531	0.00
7127282.531	0.00
7127292.481	0.00
7127302.482	0.00
7127312.482	0.00
7127322.533	0.00
7127332.483	0.00
7127342.484	0.00
7127352.534	0.00
7127362.484	0.00
7127372.535	0.00
7127382.535	0.00
7127392.486	0.00
7127402.486	0.00
7127412.537	0.00
7127422.487	0.00
7127432.537	0.00
7127442.538	0.00
7127452.538	0.00
7127462.539	0.00
7127472.489	0.00
7127482.540	0.00
7127492.490	0.00
7127502.540	0.00
7127512.491	0.00
7127522.491	0.00
7127532.542	0.00
7127542.542	0.00
7127552.543	0.00
7127562.543	0.00
7127572.493	0.00
7127582.544	0.00
7127592.544	0.00
7127602.545	0.00
7127612.495	0.00
7127622.546	0.00
7127632.546	0.00
7127642.496	0.00
7127652.497	0.00
7127662.497	0.00
7127672.548	0.00
7127682.548	0.00
7127692.549	0.00
7127702.549	0.00
7127712.549	0.00
7127722.500	0.00
7127732.500	0.00
7127742.501	0.00
7127752.501	0.00
7127762.502	0.00
7127772.552	0.00
7127782.552	0.00
7127792.503	0.00
7127802.553	0.00
7127812.504	0.00
7127822.554	0.00
7127832.505	0.00
7127842.505	0.00
7127852.555	0.00
7127862.556	0.00
7127872.506	0.00
7127882.507	0.00
7127892.557	0.00
7127902.557	0.00
7127912.558	0.00
7127922.558	0.00
7127932.509	0.00
7127942.559	0.00
7127952.560	0.00
7127962.560	0.00
7127972.560	0.00
7127982.561	0.00
7127992.511	0.00
7128002.512	0.00
7128012.512	0.00
7128022.563	0.00
7128032.563	0.00
7128042.513	0.00
7128052.514	0.00
7128062.514	0.00
7128072.565	0.00
7128082.565	0.00
7128092.516	0.00
7128102.516	0.00
7128112.566	0.00
7128122.567	0.00
7128132.567	0.00
7128142.568	0.00
7128152.518	0.00
7128162.519	0.00
7128172.569	0.00
7128182.569	0.00
7128192.570	0.00
7128202.520	0.00
7128212.571	0.00
7128222.571	0.00
7128232.522	0.00
7128242.522	0.00
7128252.572	0.00
7128262.523	0.00
7128272.573	0.00
7128282.574	0.00
7128292.574	0.00
7128302.575	0.00
7128312.525	0.00
7128322.575	0.00
7128332.526	0.00
7128342.526	0.00
7128352.577	0.00
7128362.527	0.00
7128372.528	0.00
7128382.528	0.00
7128392.578	0.00
7128402.579	0.00
7128412.579	0.00
7128422.580	0.00
7128432.580	0.00
7128442.581	0.00
7128452.581	0.00
7128462.531	0.00
7128472.582	0.00
7128482.582	0.00
7128492.533	0.00
7128502.583	0.00
7128512.534	0.00
7128522.584	0.00
7128532.534	0.00
7128542.535	0.00
7128552.585	0.00
7128562.536	0.00
7128572.586	0.00
7128582.537	0.00
7128592.537	0.00
7128602.587	0.00
7128612.538	0.00
7128622.588	0.00
7128632.589	0.00
7128642.589	0.00
7128652.590	0.00
7128662.540	0.00
7128672.590	0.00
7128682.591	0.00
7128692.591	0.00
7128702.592	0.00
7128712.592	0.00
7128722.593	0.00
7128732.543	0.00
7128742.593	0.00
7128752.594	0.00
7128762.594	0.00
7128772.595	0.00
7128782.595	0.00
7128792.596	0.00
7128802.546	0.00
7128812.546	0.00
7128822.597	0.00
7128832.597	0.00
7128842.598	0.00
7128852.598	0.00
