#1			
float	DNI_THTFin_vdot(1779,4)		
7122402.476	1	300.82	0
7122412.477	1	300.81	0
7122422.477	1	300.81	0
7122432.427	1	300.81	0
7122442.428	1	300.8	0
7122452.478	1	300.79	0
7122462.429	1	300.81	0
7122472.429	1	300.81	0
7122482.48	1	300.79	0
7122492.48	1	300.82	0
7122502.43	1	300.83	0
7122512.481	1	300.74	0
7122522.481	1	300.67	0
7122532.432	1	300.62	0
7122542.482	0.9	300.57	0
7122552.433	1	300.5	0
7122562.483	1	300.44	0
7122572.483	1	300.37	0
7122582.484	1	300.36	0
7122592.434	0.9	300.27	0
7122602.485	1	300.27	0
7122612.435	1	300.28	0
7122622.436	1	300.28	0
7122632.486	1	300.29	0
7122642.436	0.9	300.28	0
7122652.487	1	300.28	0
7122662.437	1	300.27	0
7122672.488	1	300.26	0
7122682.488	1	300.26	0
7122692.439	1	300.29	0
7122702.489	1	301.72	0
7122712.489	1	301.05	0
7122722.49	1	300.87	0
7122732.44	1	300.89	0
7122742.491	1	300.8	0
7122752.441	0.9	300.78	0
7122762.442	1	300.75	0
7122772.492	1	300.73	0
7122782.442	1	300.71	0
7122792.493	1	300.71	0
7122802.443	0.9	300.69	0
7122812.444	1	300.68	0
7122822.444	1	300.67	0
7122832.445	1	300.66	0
7122842.445	0.9	300.66	0
7122852.495	1	300.63	0
7122862.446	0.9	300.63	0
7122872.496	1	300.61	0
7122882.497	0.9	300.61	0
7122892.497	1	300.59	0
7122902.498	1	300.59	0
7122912.498	1	300.59	0
7122922.498	1	300.58	0
7122932.499	1	300.57	0
7122942.499	1	300.56	0
7122952.5	1	300.52	0
7122962.5	1	300.52	0
7122972.451	1	300.49	0
7122982.501	1	300.48	0
7122992.501	0.9	300.46	0
7123002.502	1	300.45	0
7123012.502	1	300.5	0
7123022.503	0.9	300.53	0
7123032.453	1	300.52	0
7123042.504	0.9	300.51	0
7123052.504	0.9	300.51	0
7123062.454	1	300.5	0
7123072.505	0.9	300.5	0
7123082.455	1	300.47	0
7123092.506	0.9	300.48	0
7123102.506	1	300.47	0
