[			
0	,	0	;
7136872.89	,	1.2	;
7136882.94	,	1.2	;
7136892.89	,	1.2	;
7136902.89	,	1.2	;
7136912.94	,	1.2	;
7136922.94	,	1.2	;
7136932.94	,	1.2	;
7136942.89	,	1.2	;
7136952.90	,	1.2	;
7136962.95	,	1.2	;
7136972.95	,	1.2	;
7136982.90	,	1.2	;
7136992.90	,	1.3	;
7137002.95	,	1.2	;
7137012.95	,	1.2	;
7137022.95	,	180.8	;
7137032.90	,	202.1	;
7137042.90	,	660.1	;
7137052.90	,	662.9	;
7137062.90	,	663.1	;
7137072.90	,	664.4	;
7137082.95	,	664.8	;
7137092.90	,	664.5	;
7137102.95	,	664.4	;
7137112.90	,	665.2	;
7137122.95	,	665.8	;
7137132.95	,	666.1	;
7137142.90	,	666.0	;
7137152.90	,	665.8	;
7137162.95	,	666.3	;
7137172.90	,	665.6	;
7137182.96	,	666.2	;
7137192.91	,	665.7	;
7137202.96	,	666.2	;
7137212.96	,	667.1	;
7137222.96	,	666.0	;
7137232.96	,	666.6	;
7137242.91	,	666.0	;
7137252.96	,	665.9	;
7137262.96	,	665.6	;
7137272.96	,	665.8	;
7137282.91	,	665.6	;
7137292.96	,	665.6	;
7137302.91	,	665.6	;
7137312.91	,	665.2	;
7137322.96	,	664.4	;
7137332.91	,	664.7	;
7137342.91	,	663.7	;
7137352.96	,	663.0	;
7137362.96	,	662.0	;
7137372.91	,	663.1	;
7137382.96	,	662.7	;
7137392.96	,	662.3	;
7137402.96	,	663.8	;
7137412.97	,	663.9	;
7137422.92	,	663.7	;
7137432.97	,	664.6	;
7137442.92	,	663.3	;
7137452.97	,	664.4	;
7137462.97	,	666.5	;
7137472.97	,	668.9	;
7137482.92	,	668.7	;
7137492.92	,	669.3	;
7137502.97	,	668.3	;
7137512.97	,	668.4	;
7137522.92	,	668.0	;
7137532.97	,	668.8	;
7137542.92	,	667.8	;
7137552.92	,	668.7	;
7137562.97	,	669.1	;
7137572.92	,	668.4	;
7137582.92	,	668.4	;
7137592.92	,	668.0	;
7137602.92	,	669.0	;
7137612.92	,	670.3	;
7137622.92	,	669.1	;
7137632.92	,	668.7	;
7137642.97	,	668.6	;
7137652.93	,	669.5	;
7137662.93	,	668.4	;
7137672.93	,	667.9	;
7137682.93	,	667.4	;
7137692.98	,	666.7	;
7137702.93	,	666.3	;
7137712.98	,	665.8	;
7137722.98	,	665.5	;
7137732.93	,	667.0	;
7137742.98	,	666.3	;
7137752.93	,	667.3	;
7137762.93	,	666.6	;
7137772.98	,	667.6	;
