#1	
double	test(2502,2)
7126582.501	1.0
7126592.501	0.9
7126602.502	1.0
7126612.502	1.0
7126622.503	0.9
7126632.453	1.0
7126642.504	0.9
7126652.504	0.9
7126662.454	1.0
7126672.505	0.9
7126682.455	1.0
7126692.506	0.9
7126702.506	1.0
7126712.507	0.9
7126722.457	1.0
7126732.457	1.0
7126742.458	1.0
7126752.458	1.0
7126762.509	1.0
7126772.509	1.0
7126782.460	0.9
7126792.510	1.0
7126802.460	1.0
7126812.461	1.0
7126822.461	1.0
7126832.512	1.0
7126842.462	0.9
7126852.463	1.0
7126862.463	1.0
7126872.513	0.9
7126882.464	0.9
7126892.514	0.9
7126902.515	1.0
7126912.515	0.9
7126922.466	1.0
7126932.516	1.0
7126942.516	1.0
7126952.517	1.0
7126962.517	1.0
7126972.468	1.0
7126982.468	1.0
7126992.519	1.0
7127002.519	1.0
7127012.519	1.0
7127022.520	1.0
7127032.520	1.0
7127042.521	1.0
7127052.471	1.0
7127062.472	0.9
7127072.472	1.0
7127082.522	0.9
7127092.473	0.9
7127102.523	1.0
7127112.524	1.0
7127122.524	0.9
7127132.475	1.0
7127142.475	1.0
7127152.525	1.0
7127162.476	0.9
7127172.476	1.0
7127182.527	0.9
7127192.477	0.9
7127202.478	1.0
7127212.478	1.0
7127222.478	1.0
7127232.529	0.9
7127242.529	1.0
7127252.480	0.9
7127262.480	1.0
7127272.531	0.9
7127282.531	0.9
7127292.481	1.0
7127302.482	0.9
7127312.482	1.0
7127322.533	0.9
7127332.483	0.9
7127342.484	1.0
7127352.534	1.0
7127362.484	0.9
7127372.535	1.0
7127382.535	0.9
7127392.486	1.0
7127402.486	0.9
7127412.537	0.9
7127422.487	0.9
7127432.537	1.0
7127442.538	1.0
7127452.538	1.0
7127462.539	1.0
7127472.489	0.9
7127482.540	0.9
7127492.490	1.0
7127502.540	0.9
7127512.491	0.9
7127522.491	1.0
7127532.542	1.0
7127542.542	0.9
7127552.543	1.0
7127562.543	1.0
7127572.493	0.9
7127582.544	1.0
7127592.544	1.0
7127602.545	1.0
7127612.495	1.0
7127622.546	1.0
7127632.546	1.0
7127642.496	1.0
7127652.497	1.0
7127662.497	0.9
7127672.548	0.9
7127682.548	1.0
7127692.549	1.0
7127702.549	1.0
7127712.549	1.0
7127722.500	1.0
7127732.500	0.9
7127742.501	1.0
7127752.501	0.9
7127762.502	1.0
7127772.552	1.0
7127782.552	0.9
7127792.503	1.0
7127802.553	1.0
7127812.504	0.9
7127822.554	1.0
7127832.505	0.9
7127842.505	1.0
7127852.555	1.0
7127862.556	1.0
7127872.506	1.0
7127882.507	0.9
7127892.557	1.0
7127902.557	1.0
7127912.558	1.0
7127922.558	0.9
7127932.509	0.9
7127942.559	1.0
7127952.560	1.0
7127962.560	1.0
7127972.560	1.0
7127982.561	1.0
7127992.511	0.9
7128002.512	0.9
7128012.512	1.0
7128022.563	0.9
7128032.563	0.9
7128042.513	1.0
7128052.514	1.0
7128062.514	1.0
7128072.565	1.0
7128082.565	1.0
7128092.516	1.0
7128102.516	0.9
7128112.566	1.0
7128122.567	1.0
7128132.567	1.0
7128142.568	1.0
7128152.518	0.9
7128162.519	1.0
7128172.569	0.9
7128182.569	0.9
7128192.570	1.0
7128202.520	1.0
7128212.571	1.0
7128222.571	1.0
7128232.522	1.0
7128242.522	1.0
7128252.572	1.0
7128262.523	1.0
7128272.573	0.9
7128282.574	1.0
7128292.574	1.0
7128302.575	1.0
7128312.525	1.0
7128322.575	0.9
7128332.526	1.0
7128342.526	0.9
7128352.577	1.0
7128362.527	0.9
7128372.528	0.9
7128382.528	1.0
7128392.578	1.0
7128402.579	1.0
7128412.579	0.9
7128422.580	0.9
7128432.580	0.9
7128442.581	1.0
7128452.581	1.0
7128462.531	0.9
7128472.582	1.0
7128482.582	1.0
7128492.533	0.9
7128502.583	1.0
7128512.534	0.9
7128522.584	0.9
7128532.534	0.9
7128542.535	0.9
7128552.585	1.0
7128562.536	1.0
7128572.586	1.0
7128582.537	1.0
7128592.537	0.9
7128602.587	0.9
7128612.538	0.9
7128622.588	1.0
7128632.589	1.0
7128642.589	0.9
7128652.590	1.0
7128662.540	1.0
7128672.590	1.0
7128682.591	1.0
7128692.591	1.0
7128702.592	1.0
7128712.592	0.9
7128722.593	1.0
7128732.543	0.9
7128742.593	0.9
7128752.594	1.0
7128762.594	0.9
7128772.595	0.9
7128782.595	1.0
7128792.596	1.0
7128802.546	1.0
7128812.546	0.9
7128822.597	1.0
7128832.597	1.0
7128842.598	1.0
7128852.598	0.9
7128862.599	0.9
7128872.549	0.9
7128882.599	0.9
7128892.600	1.0
7128902.600	1.0
7128912.601	1.0
7128922.551	1.0
7128932.602	1.0
7128942.552	1.0
7128952.602	1.0
7128962.603	0.9
7128972.553	1.0
7128982.604	1.0
7128992.554	1.0
7129002.605	1.0
7129012.555	1.0
7129022.605	1.0
7129032.606	0.9
7129042.556	0.9
7129052.557	1.0
7129062.607	1.0
7129072.558	0.9
7129082.558	1.0
7129092.608	1.0
7129102.609	1.0
7129112.559	0.9
7129122.610	1.0
7129132.610	1.0
7129142.611	1.0
7129152.561	1.0
7129162.611	1.0
7129172.612	1.0
7129182.612	1.0
7129192.613	1.0
7129202.613	1.0
7129212.614	1.0
7129222.614	1.0
7129232.614	1.0
7129242.615	1.0
7129252.615	1.0
7129262.566	1.0
7129272.616	0.9
7129282.617	0.9
7129292.617	1.0
7129302.617	1.0
7129312.618	1.0
7129322.618	1.0
7129332.619	1.0
7129342.619	1.0
7129352.570	1.0
7129362.620	1.0
7129372.620	1.0
7129382.621	1.0
7129392.621	1.0
7129402.622	1.0
7129412.622	1.0
7129422.623	1.0
7129432.623	1.0
7129442.623	1.0
7129452.574	0.9
7129462.574	1.0
7129472.625	1.0
7129482.625	1.0
7129492.626	1.0
7129502.626	1.0
7129512.626	1.0
7129522.627	1.0
7129532.627	1.0
7129542.628	1.0
7129552.628	1.0
7129562.629	1.0
7129572.579	1.0
7129582.579	1.0
7129592.580	1.0
7129602.630	1.1
7129612.631	1.0
7129622.631	1.0
7129632.582	1.0
7129642.582	1.0
7129652.582	1.0
7129662.633	1.0
7129672.583	1.0
7129682.584	1.0
