#1
float	shading_matrix(22, 47)
0.00	-0.52	-0.51	-0.49	-0.47	-0.45	-0.44	-0.42	-0.40	-0.38	-0.37	-0.35	-0.33	-0.31	-0.30	-0.28	-0.26	-0.24	-0.23	-0.21	-0.19	-0.17	-0.16	-0.14	-0.12	-0.10	-0.09	-0.07	-0.05	-0.03	-0.02	0.00	0.02	0.03	0.05	0.07	0.09	0.10	0.12	0.14	0.16	0.17	0.19	0.21	0.23	0.24	0.26
0.52	0.57	0.57	0.58	0.57	0.59	0.59	0.59	0.59	0.59	0.59	0.59	0.59	0.59	0.59	0.58	0.59	0.59	0.59	0.59	0.59	0.59	0.59	0.60	0.59	0.59	0.60	0.60	0.60	0.60	0.60	0.60	0.60	0.60	0.59	0.59	0.59	0.59	0.59	0.59	0.59	0.60	0.60	0.60	0.60	0.59	0.59
0.54	0.55	0.54	0.55	0.55	0.55	0.56	0.56	0.56	0.57	0.56	0.56	0.56	0.57	0.57	0.55	0.55	0.56	0.57	0.57	0.56	0.56	0.57	0.57	0.57	0.57	0.57	0.56	0.56	0.55	0.55	0.55	0.55	0.56	0.56	0.57	0.57	0.57	0.57	0.57	0.57	0.57	0.57	0.58	0.57	0.56	0.56
0.56	0.54	0.55	0.54	0.54	0.54	0.54	0.55	0.54	0.55	0.55	0.55	0.56	0.55	0.56	0.55	0.55	0.55	0.56	0.56	0.55	0.56	0.58	0.57	0.57	0.57	0.56	0.56	0.56	0.56	0.57	0.56	0.56	0.57	0.57	0.57	0.58	0.57	0.57	0.56	0.56	0.55	0.56	0.56	0.55	0.55	0.55
0.58	0.53	0.52	0.53	0.54	0.54	0.55	0.54	0.53	0.54	0.54	0.55	0.55	0.55	0.56	0.56	0.55	0.55	0.55	0.56	0.56	0.56	0.56	0.56	0.55	0.56	0.57	0.59	0.59	0.59	0.59	0.59	0.59	0.57	0.57	0.57	0.56	0.56	0.57	0.57	0.56	0.56	0.56	0.56	0.56	0.56	0.56
0.59	0.55	0.56	0.54	0.53	0.53	0.54	0.53	0.54	0.54	0.54	0.54	0.53	0.54	0.54	0.54	0.54	0.54	0.54	0.55	0.56	0.56	0.56	0.56	0.57	0.56	0.55	0.55	0.55	0.53	0.53	0.54	0.54	0.55	0.56	0.55	0.55	0.55	0.54	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.54
0.61	0.46	0.46	0.48	0.49	0.50	0.49	0.49	0.49	0.50	0.51	0.51	0.52	0.51	0.51	0.50	0.51	0.51	0.51	0.51	0.51	0.52	0.53	0.52	0.53	0.53	0.52	0.52	0.51	0.50	0.50	0.50	0.51	0.51	0.52	0.52	0.52	0.53	0.53	0.52	0.51	0.51	0.51	0.49	0.49	0.50	0.50
0.63	0.53	0.52	0.50	0.49	0.49	0.50	0.51	0.52	0.50	0.50	0.50	0.50	0.50	0.51	0.52	0.51	0.51	0.51	0.51	0.51	0.51	0.50	0.50	0.50	0.51	0.52	0.52	0.53	0.54	0.54	0.54	0.53	0.53	0.52	0.51	0.51	0.51	0.51	0.51	0.51	0.51	0.50	0.48	0.49	0.50	0.50
0.65	0.46	0.46	0.48	0.50	0.49	0.49	0.48	0.49	0.50	0.51	0.51	0.50	0.51	0.50	0.50	0.50	0.49	0.51	0.51	0.51	0.51	0.50	0.50	0.51	0.51	0.51	0.51	0.50	0.50	0.50	0.50	0.51	0.51	0.50	0.52	0.51	0.51	0.51	0.51	0.52	0.51	0.50	0.49	0.50	0.51	0.51
0.66	0.50	0.44	0.44	0.44	0.44	0.46	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.46	0.47	0.47	0.47	0.48	0.49	0.48	0.48	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.48	0.48	0.48	0.47	0.47	0.47	0.48	0.47	0.47	0.47	0.48	0.47
0.68	0.43	0.43	0.46	0.47	0.47	0.45	0.45	0.45	0.46	0.46	0.47	0.46	0.46	0.46	0.46	0.47	0.46	0.45	0.44	0.45	0.45	0.46	0.46	0.46	0.46	0.47	0.47	0.47	0.47	0.48	0.47	0.47	0.46	0.46	0.46	0.47	0.47	0.46	0.47	0.47	0.46	0.45	0.44	0.44	0.45	0.46
0.70	0.45	0.43	0.43	0.43	0.43	0.44	0.44	0.44	0.44	0.44	0.45	0.44	0.45	0.45	0.44	0.45	0.46	0.45	0.44	0.46	0.46	0.47	0.46	0.46	0.46	0.46	0.46	0.47	0.46	0.46	0.46	0.47	0.47	0.47	0.46	0.47	0.47	0.46	0.45	0.46	0.45	0.44	0.44	0.44	0.45	0.45
0.72	0.47	0.49	0.50	0.47	0.46	0.45	0.45	0.45	0.44	0.44	0.45	0.44	0.44	0.43	0.45	0.45	0.46	0.46	0.44	0.45	0.46	0.47	0.47	0.47	0.47	0.47	0.46	0.46	0.46	0.46	0.46	0.46	0.46	0.46	0.47	0.46	0.45	0.45	0.46	0.46	0.47	0.45	0.45	0.45	0.45	0.45
0.73	0.43	0.43	0.43	0.43	0.43	0.43	0.43	0.42	0.41	0.42	0.41	0.41	0.41	0.41	0.41	0.41	0.41	0.42	0.43	0.42	0.42	0.43	0.43	0.42	0.43	0.43	0.43	0.43	0.42	0.42	0.42	0.42	0.41	0.41	0.41	0.42	0.41	0.41	0.41	0.42	0.42	0.41	0.41	0.41	0.42	0.41
